第 83 章
83 章 省
章 省 宫闱
省 宫闱 贾元妃
宫闱 贾元妃 染恙
贾元妃 染恙 闹
染恙 闹 闺
闹 闺 阃
闺 阃 薛宝钗
阃 薛宝钗 吞声
薛宝钗 吞声 话
吞声 话 说
话 说 探春
说 探春 湘云
探春 湘云 才
湘云 才 要
才 要 走时
要 走时 忽
走时 忽 听
忽 听 外面
听 外面 一个人
外面 一个人 嚷
一个人 嚷 道
嚷 道 你
道 你 这
你 这 不成人
这 不成人 的
不成人 的 小
的 小 蹄子
小 蹄子 你
蹄子 你 是
你 是 个
是 个 什么
个 什么 东西
什么 东西 来
东西 来 这
来 这 园子
这 园子 里头
园子 里头 混搅
里头 混搅 黛玉
混搅 黛玉 听了
黛玉 听了 大叫
听了 大叫 一声
大叫 一声 道
一声 道 这里
道 这里 住
这里 住 不得了
住 不得了 一手
不得了 一手 指着
一手 指着 窗外
指着 窗外 两眼
窗外 两眼 反
两眼 反 插上去
反 插上去 原来
插上去 原来 黛玉
原来 黛玉 住在
黛玉 住在 大观园
住在 大观园 中
大观园 中 虽
中 虽 靠着
虽 靠着 贾母
靠着 贾母 疼爱
贾母 疼爱 然在别
疼爱 然在别 人
然在别 人 身上
人 身上 凡事
身上 凡事 终
凡事 终 是
终 是 寸步
是 寸步 留心
寸步 留心 听见
留心 听见 窗外
听见 窗外 老婆子
窗外 老婆子 这样
老婆子 这样 骂
这样 骂 着
骂 着 在
着 在 别人
在 别人 呢
别人 呢 一句
呢 一句 是
一句 是 贴
是 贴 不
贴 不 上
不 上 的
上 的 竟像
的 竟像 专骂
竟像 专骂 着
专骂 着 自己
着 自己 的
自己 的 自思
的 自思 一个
自思 一个 千金小姐
一个 千金小姐 只
千金小姐 只 因
只 因 没
因 没 了
没 了 爹娘
了 爹娘 不知
爹娘 不知 何人
不知 何人 指使
何人 指使 这
指使 这 老婆
这 老婆 子来
老婆 子来 这般
子来 这般 辱骂
这般 辱骂 那里
辱骂 那里 委屈
那里 委屈 得来
委屈 得来 因此
得来 因此 肝肠
因此 肝肠 崩裂
肝肠 崩裂 哭
崩裂 哭 的
哭 的 过去
的 过去 了
过去 了 紫鹃
了 紫鹃 只是
紫鹃 只是 哭叫
只是 哭叫 姑
哭叫 姑 娘
姑 娘 怎么样
娘 怎么样 了
怎么样 了 快
了 快 醒来
快 醒来 罢
醒来 罢 探春
罢 探春 也
探春 也 叫
也 叫 了
叫 了 一回
了 一回 半晌
一回 半晌 黛玉
半晌 黛玉 回过
黛玉 回过 这
回过 这 口气
这 口气 还
口气 还 说不出
还 说不出 话
说不出 话 来
话 来 那
来 那 只
那 只 手
只 手 仍
手 仍 向
仍 向 窗外
向 窗外 指着
窗外 指着 探春
指着 探春 会意
探春 会意 开门
会意 开门 出去
开门 出去 看见
出去 看见 老婆子
看见 老婆子 手中
老婆子 手中 拿着
手中 拿着 拐棍
拿着 拐棍 赶着
拐棍 赶着 一个
赶着 一个 不干不净
一个 不干不净 的
不干不净 的 毛丫头
的 毛丫头 道
毛丫头 道 我
道 我 是
我 是 为
是 为 照管
为 照管 这
照管 这 园中
这 园中 的
园中 的 花果
的 花果 树木
花果 树木 来到
树木 来到 这里
来到 这里 你作
这里 你作 什么
你作 什么 来了
什么 来了 等
来了 等 我家
等 我家 去
我家 去 打
去 打 你
打 你 一个
你 一个 知道
一个 知道 这
知道 这 丫头
这 丫头 扭着
丫头 扭着 头
扭着 头 把
头 把 一个
把 一个 指头
一个 指头 探在
指头 探在 嘴里
探在 嘴里 瞅
