第 32 章
32 章 诉
章 诉 肺腑
诉 肺腑 心迷
肺腑 心迷 活
心迷 活 宝玉
活 宝玉 含
宝玉 含 耻辱
含 耻辱 情烈
耻辱 情烈 死
情烈 死 金钏
死 金钏 话
金钏 话 说
话 说 宝玉
说 宝玉 见
宝玉 见 那
见 那 麒麟
那 麒麟 心中
麒麟 心中 甚
心中 甚 是
甚 是 欢喜
是 欢喜 便
欢喜 便 伸手
便 伸手 来
伸手 来 拿
来 拿 笑道
拿 笑道 亏
笑道 亏 你
亏 你 拣
你 拣 着
拣 着 了
着 了 你
了 你 是
你 是 怎么
是 怎么 拾
怎么 拾 着
拾 着 的
着 的 湘云
的 湘云 笑道
湘云 笑道 幸而
笑道 幸而 是
幸而 是 这个
是 这个 明日
这个 明日 倘或
明日 倘或 把
倘或 把 印
把 印 也
印 也 丢
也 丢 了
丢 了 难道
了 难道 也
难道 也 就
也 就 罢了
就 罢了 不
罢了 不 成
不 成 宝玉
成 宝玉 笑道
宝玉 笑道 倒是
笑道 倒是 丢
倒是 丢 了
丢 了 印
了 印 平常
印 平常 若
平常 若 丢
若 丢 了
丢 了 这个
了 这个 我
这个 我 就
我 就 该死
就 该死 了
该死 了 袭人
了 袭人 倒
袭人 倒 了
倒 了 茶
了 茶 来
茶 来 与
来 与 湘云
与 湘云 吃
湘云 吃 一面
吃 一面 笑道
一面 笑道 大姑娘
笑道 大姑娘 我
大姑娘 我 前日
我 前日 听见
前日 听见 你
听见 你 大喜
你 大喜 呀
大喜 呀 湘云
呀 湘云 红了脸
湘云 红了脸 扭过头去
红了脸 扭过头去 吃
扭过头去 吃 茶
吃 茶 一声
茶 一声 也
一声 也 不
也 不 答应
不 答应 袭人
答应 袭人 笑道
袭人 笑道 这会子
笑道 这会子 又
这会子 又 害臊
又 害臊 了
害臊 了 你
了 你 还
你 还 记得
还 记得 那
记得 那 几年
那 几年 咱们
几年 咱们 在
咱们 在 西边
在 西边 暖阁
西边 暖阁 上
暖阁 上 住着
上 住着 晚上
住着 晚上 你
晚上 你 和
你 和 我
和 我 说
我 说 的话
