第 110 章
110 章 史太君
章 史太君 寿
史太君 寿 终归
寿 终归 地府
终归 地府 王凤姐
地府 王凤姐 力
王凤姐 力 诎
力 诎 失
诎 失 人心
失 人心 却说
人心 却说 贾母
却说 贾母 坐起
贾母 坐起 说道
坐起 说道 我
说道 我 到
我 到 你们
到 你们 家
你们 家 已经
家 已经 六十多年
已经 六十多年 了
六十多年 了 从
了 从 年轻
从 年轻 的
年轻 的 时候
的 时候 到
时候 到 老来
到 老来 福
老来 福 也
福 也 享尽
也 享尽 了
享尽 了 自
了 自 你们
自 你们 老爷
你们 老爷 起
老爷 起 儿子
起 儿子 孙子
儿子 孙子 也
孙子 也 都
也 都 算是
都 算是 好
算是 好 的
好 的 了
的 了 就是
了 就是 宝玉
就是 宝玉 呢
宝玉 呢 我
呢 我 疼
我 疼 了
疼 了 他
了 他 一场
他 一场 说
一场 说 到
说 到 那里
到 那里 拿
那里 拿 眼满
拿 眼满 地下
眼满 地下 瞅
地下 瞅 着
瞅 着 王夫人
着 王夫人 便
王夫人 便 推
便 推 宝玉
推 宝玉 走到
宝玉 走到 床前
走到 床前 贾母
床前 贾母 从
贾母 从 被窝
从 被窝 里
被窝 里 伸出
里 伸出 手来
伸出 手来 拉
手来 拉 着
拉 着 宝玉
着 宝玉 道
宝玉 道 我的
道 我的 儿
我的 儿 你
儿 你 要
你 要 争气
要 争气 才好
争气 才好 宝玉
才好 宝玉 嘴里
宝玉 嘴里 答应
嘴里 答应 心里
答应 心里 一酸
心里 一酸 那
一酸 那 眼泪
那 眼泪 便
眼泪 便 要
便 要 流下来
要 流下来 又
流下来 又 不敢
又 不敢 哭
不敢 哭 只得
哭 只得 站
只得 站 着
站 着 听
着 听 贾母
听 贾母 说道
贾母 说道 我想
说道 我想 再见
我想 再见 一个
再见 一个 重孙子
一个 重孙子 我
重孙子 我 就
我 就 安
就 安 心
安 心 了
心 了 我的
了 我的 兰儿
我的 兰儿 在
兰儿 在 那里
在 那里 呢
那里 呢 李纨
呢 李纨 也
李纨 也 推
也 推 贾兰
推 贾兰 上去
贾兰 上去 贾母
上去 贾母 放
贾母 放 了
放 了 宝玉
了 宝玉 拉着
宝玉 拉着 贾兰
拉着 贾兰 道
贾兰 道 你
道 你 母亲
你 母亲 是
母亲 是 要
是 要 孝顺
要 孝顺 的
孝顺 的 将来
的 将来 你
将来 你 成
你 成 了
成 了 人
了 人 也
人 也 叫
也 叫 你
叫 你 母亲
你 母亲 风光
