第 105 章
105 章 锦衣
章 锦衣 军
锦衣 军 查抄
军 查抄 宁国府
查抄 宁国府 骢
宁国府 骢 马
骢 马 使
马 使 弹劾
使 弹劾 平安
弹劾 平安 州
平安 州 话
州 话 说
话 说 贾政正
说 贾政正 在
贾政正 在 那里
在 那里 设
那里 设 宴请
设 宴请 酒
宴请 酒 忽见
酒 忽见 赖大
忽见 赖大 急忙
赖大 急忙 走上
急忙 走上 荣禧堂
走上 荣禧堂 来
荣禧堂 来 回
来 回 贾政道
回 贾政道 有
贾政道 有 锦
有 锦 衣府
锦 衣府 堂
衣府 堂 官
堂 官 赵老爷
官 赵老爷 带领
赵老爷 带领 好几位
带领 好几位 司官
好几位 司官 说来
司官 说来 拜望
说来 拜望 奴才
拜望 奴才 要取
奴才 要取 职名
要取 职名 来回
职名 来回 赵老爷
来回 赵老爷 说
赵老爷 说 我
说 我 们
我 们 至
们 至 好
至 好 不用
好 不用 的
不用 的 一面
的 一面 就
一面 就 下
就 下 了
下 了 车
了 车 走进
车 走进 来了
走进 来了 请
来了 请 老爷
请 老爷 同
老爷 同 爷们
同 爷们 快
爷们 快 接去
快 接去 贾政听
接去 贾政听 了
贾政听 了 心想
了 心想 和
心想 和 老
和 老 赵
老 赵 并无
赵 并无 来往
并无 来往 怎么
来往 怎么 也
怎么 也 来
也 来 现在
来 现在 有客
现在 有客 留
有客 留 他
留 他 不便
他 不便 不留
不便 不留 又
不留 又 不好
又 不好 正自思
不好 正自思 想
正自思 想 贾琏
想 贾琏 说
贾琏 说 叔叔
说 叔叔 快
叔叔 快 去罢
快 去罢 再
去罢 再 想
再 想 一回
想 一回 人
一回 人 都
人 都 进来
都 进来 了
进来 了 正说
了 正说 着
正说 着 只见
着 只见 二门
只见 二门 上
二门 上 家人
上 家人 又
家人 又 报
又 报 进来
报 进来 说
进来 说 赵老爷
说 赵老爷 已进
赵老爷 已进 二门
已进 二门 了
二门 了 贾政
了 贾政 等
贾政 等 抢步
等 抢步 接去
抢步 接去 只见
接去 只见 赵堂官
只见 赵堂官 满脸
赵堂官 满脸 笑容
满脸 笑容 并不
笑容 并不 说
并不 说 什么
说 什么 一径
什么 一径 走上
一径 走上 厅来
走上 厅来 后面
厅来 后面 跟着
后面 跟着 五六位
跟着 五六位 司官
五六位 司官 也有
司官 也有 认得
也有 认得 的
认得 的 也有
的 也有 不
也有 不 认得
不 认得 的
认得 的 但是
的 但是 总
但是 总 不
总 不 答话
不 答话 贾政
答话 贾政 等
贾政 等 心里
等 心里 不得
心里 不得 主意
不得 主意 只得
主意 只得 跟着
只得 跟着 上来
跟着 上来 让
上来 让 坐
让 坐 众
坐 众 亲友
众 亲友 也有
亲友 也有 认得
也有 认得 赵堂官
认得 赵堂官 的
赵堂官 的 见
的 见 他仰
见 他仰 着
他仰 着 脸
着 脸 不
脸 不 大理人
不 大理人 只拉着
大理人 只拉着 贾政
只拉着 贾政 的
贾政 的 手
的 手 笑
手 笑 着
笑 着 说
着 说 了
说 了 几句
了 几句 寒温
几句 寒温 的话
寒温 的话 众人
的话 众人 看见
众人 看见 来头
看见 来头 不好
来头 不好 也有
不好 也有 躲进
也有 躲进 里间
躲进 里间 屋里
里间 屋里 的
屋里 的 也有
的 也有 垂手
也有 垂手 侍立
垂手 侍立 的
侍立 的 贾政正
的 贾政正 要
贾政正 要 带笑
要 带笑 叙话
带笑 叙话 只见
叙话 只见 家人
只见 家人 慌张
家人 慌张 报道
慌张 报道 西平
报道 西平 王爷
西平 王爷 到了
王爷 到了 贾政
到了 贾政 慌忙
贾政 慌忙 去
慌忙 去 接
去 接 已见
接 已见 王爷
已见 王爷 进来
王爷 进来 赵堂官
进来 赵堂官 抢
赵堂官 抢 上去
抢 上去 请了
上去 请了 安
请了 安 便说
安 便说 王
便说 王 爷
王 爷 已
爷 已 到
已 到 随来
到 随来 的
随来 的 老爷
的 老爷 们
老爷 们 就
们 就 该
就 该 带领
该 带领 府役
带领 府役 把守
府役 把守 前后门
把守 前后门 众官
前后门 众官 应
众官 应 了
应 了 出去
了 出去 贾政
出去 贾政 等
贾政 等 知事
等 知事 不
知事 不 好
不 好 连忙
好 连忙 跪接
连忙 跪接 西
跪接 西 平郡王
西 平郡王 用
平郡王 用 两手
用 两手 扶起
两手 扶起 笑嘻嘻
扶起 笑嘻嘻 的
笑嘻嘻 的 说道
的 说道 无事
说道 无事 不敢
无事 不敢 轻造
不敢 轻造 有
轻造 有 奉旨
有 奉旨 交
奉旨 交 办
交 办 事件
办 事件 要
事件 要 赦
要 赦 老
赦 老 接旨
老 接旨 如今
接旨 如今 满堂
如今 满堂 中
满堂 中 筵席
中 筵席 未散
筵席 未散 想
未散 想 有
想 有 亲友
有 亲友 在
亲友 在 此
在 此 未便
此 未便 且
未便 且 请
且 请 众位
请 众位 府上
众位 府上 亲
府上 亲 友各散
亲 友各散 独留
友各散 独留 本宅
独留 本宅 的
本宅 的 人
的 人 听候
人 听候 赵堂官
听候 赵堂官 回说
赵堂官 回说 王爷
回说 王爷 虽
王爷 虽 是
虽 是 恩典
是 恩典 但
恩典 但 东边
但 东边 的
东边 的 事
的 事 这位
事 这位 王
这位 王 爷
王 爷 办事
爷 办事 认真
办事 认真 想
认真 想 是
想 是 早已
是 早已 封门
早已 封门 众人
封门 众人 知是
众人 知是 两府
知是 两府 干系
两府 干系 恨不能
干系 恨不能 脱身
恨不能 脱身 只见
脱身 只见 王爷
只见 王爷 笑道
王爷 笑道 众
笑道 众 位
众 位 只管
位 只管 就
只管 就 请
就 请 叫人
请 叫人 来
叫人 来 给
来 给 我
给 我 送出去
我 送出去 告诉
送出去 告诉 锦衣
告诉 锦衣 府
锦衣 府 的
府 的 官员
的 官员 说
官员 说 这
说 这 都是
这 都是 亲友
都是 亲友 不必
亲友 不必 盘查
不必 盘查 快快
盘查 快快 放出
快快 放出 那些
放出 那些 亲友
那些 亲友 听见
亲友 听见 就
听见 就 一溜烟
就 一溜烟 如飞
一溜烟 如飞 的
如飞 的 出去
的 出去 了
出去 了 独有
了 独有 贾赦
独有 贾赦 贾政
贾赦 贾政 一干人
贾政 一干人 唬得
一干人 唬得 面如土色
唬得 面如土色 满身
面如土色 满身 发颤
满身 发颤 不
发颤 不 多一会
不 多一会 只见
多一会 只见 进来
只见 进来 无数
进来 无数 番役
无数 番役 各门
番役 各门 把守
各门 把守 本宅
把守 本宅 上下
