第 16 章
16 章 贾元春
章 贾元春 才
贾元春 才 选
才 选 凤藻宫
选 凤藻宫 秦鲸卿
凤藻宫 秦鲸卿 夭逝
秦鲸卿 夭逝 黄泉路
夭逝 黄泉路 且说
黄泉路 且说 秦钟
且说 秦钟 宝玉
秦钟 宝玉 二人
宝玉 二人 跟着
二人 跟着 凤姐
跟着 凤姐 自铁槛
凤姐 自铁槛 寺
自铁槛 寺 照应
寺 照应 一番
照应 一番 坐车
一番 坐车 进城
坐车 进城 到家
进城 到家 见过
到家 见过 贾母王
见过 贾母王 夫
贾母王 夫 人
夫 人 等
人 等 回到
等 回到 自己
回到 自己 房中
自己 房中 一夜
房中 一夜 无
一夜 无 话
无 话 至
话 至 次日
至 次日 宝玉
次日 宝玉 见
宝玉 见 收拾
见 收拾 了
收拾 了 外
了 外 书房
外 书房 约定
书房 约定 了
约定 了 和
了 和 秦钟
和 秦钟 念
秦钟 念 夜书
念 夜书 偏偏
夜书 偏偏 那秦钟
偏偏 那秦钟 秉赋
那秦钟 秉赋 最弱
秉赋 最弱 因在
最弱 因在 郊外
因在 郊外 受
郊外 受 了
受 了 些
了 些 风霜
些 风霜 又
风霜 又 与
又 与 智能
与 智能 儿
智能 儿 几次
儿 几次 偷期
几次 偷期 缱绻
偷期 缱绻 未
缱绻 未 免
未 免 失于
免 失于 检点
失于 检点 回来
检点 回来 时
回来 时 便
时 便 咳嗽
便 咳嗽 伤风
咳嗽 伤风 饮食
伤风 饮食 懒进
饮食 懒进 大有
懒进 大有 不胜
大有 不胜 之态
不胜 之态 只
之态 只 在
只 在 家中
在 家中 调养
家中 调养 不能
调养 不能 上学
不能 上学 宝玉
上学 宝玉 便
宝玉 便 扫
便 扫 了
扫 了 兴
了 兴 然亦
兴 然亦 无法
然亦 无法 只得
无法 只得 候
只得 候 他
候 他 病
他 病 痊
病 痊 再议
痊 再议 那凤姐
再议 那凤姐 却
那凤姐 却 已
却 已 得
已 得 了
得 了 云光
了 云光 的
云光 的 回信
的 回信 俱
回信 俱 已
俱 已 妥协
已 妥协 老
妥协 老 尼达
老 尼达 知
尼达 知 张家
知 张家 那
张家 那 守备
那 守备 无奈何
守备 无奈何 忍气
无奈何 忍气 吞声
忍气 吞声 受
吞声 受 了
受 了 前聘
了 前聘 之物
前聘 之物 谁知
之物 谁知 爱势
谁知 爱势 贪财
爱势 贪财 的
贪财 的 父母
的 父母 却养
父母 却养 了
却养 了 一个
了 一个 知义多情
一个 知义多情 的
知义多情 的 女儿
的 女儿 闻得
女儿 闻得 退
闻得 退 了
退 了 前夫
了 前夫 另许
前夫 另许 李门
另许 李门 他
李门 他 便
他 便 一条
便 一条 汗巾
一条 汗巾 悄悄的
汗巾 悄悄的 寻
悄悄的 寻 了
寻 了 自尽
了 自尽 那
自尽 那 守备
那 守备 之子
守备 之子 谁知
之子 谁知 也是
谁知 也是 个
也是 个 情种
个 情种 闻
情种 闻 知
闻 知 金哥
知 金哥 自缢
金哥 自缢 遂
自缢 遂 投河
遂 投河 而
投河 而 死
而 死 可怜
死 可怜 张李
可怜 张李 二家
张李 二家 没趣
二家 没趣 真是
没趣 真是 人财两空
真是 人财两空 这里
人财两空 这里 凤姐
这里 凤姐 却安
凤姐 却安 享了
却安 享了 三千两
享了 三千两 王夫人
三千两 王夫人 连
王夫人 连 一点
连 一点 消息
一点 消息 也
消息 也 不知
也 不知 自此
不知 自此 凤姐
自此 凤姐 胆识
凤姐 胆识 愈壮
胆识 愈壮 以后
愈壮 以后 所作所为
以后 所作所为 诸如
所作所为 诸如 此类
诸如 此类 不可胜数
此类 不可胜数 一日
不可胜数 一日 正是
一日 正是 贾政
正是 贾政 的
贾政 的 生辰
的 生辰 宁荣二
生辰 宁荣二 处
宁荣二 处 人丁
处 人丁 都
人丁 都 齐集
都 齐集 庆贺
齐集 庆贺 热闹
庆贺 热闹 非常
热闹 非常 忽有
非常 忽有 门吏
忽有 门吏 报道
门吏 报道 有
报道 有 六
有 六 宫都太监
六 宫都太监 夏
宫都太监 夏 老爷
夏 老爷 特来
老爷 特来 降旨
特来 降旨 吓的
降旨 吓的 贾赦
吓的 贾赦 贾政
贾赦 贾政 一
贾政 一 干
一 干 人不知
干 人不知 何事
人不知 何事 忙止
何事 忙止 了
忙止 了 戏文
了 戏文 撤去
戏文 撤去 酒席
撤去 酒席 摆
酒席 摆 香案
摆 香案 启中门
香案 启中门 跪接
启中门 跪接 早见
跪接 早见 都
早见 都 太监
都 太监 夏秉忠
太监 夏秉忠 乘马
夏秉忠 乘马 而
乘马 而 至
而 至 又有
至 又有 许多
又有 许多 跟
许多 跟 从
跟 从 的
从 的 内
的 内 监
内 监 那夏
监 那夏 太监
那夏 太监 也
太监 也 不曾
也 不曾 负诏
不曾 负诏 捧
负诏 捧 敕
捧 敕 直至
敕 直至 正厅
直至 正厅 下马
正厅 下马 满面笑容
下马 满面笑容 走
满面笑容 走 至
走 至 厅
至 厅 上
厅 上 南面
上 南面 而立
南面 而立 口内
而立 口内 说
口内 说 奉特旨
说 奉特旨 立刻
奉特旨 立刻 宣
立刻 宣 贾政
宣 贾政 入朝
贾政 入朝 在
入朝 在 临敬殿
在 临敬殿 陛见
临敬殿 陛见 说毕
陛见 说毕 也
说毕 也 不吃
也 不吃 茶
不吃 茶 便
茶 便 乘马
便 乘马 去了
乘马 去了 贾政
去了 贾政 等
贾政 等 也
等 也 猜
也 猜 不出
猜 不出 是
不出 是 何来
是 何来 头
何来 头 只得
头 只得 即忙
只得 即忙 更衣
即忙 更衣 入朝
更衣 入朝 贾母
入朝 贾母 等
贾母 等 合家
等 合家 人心
合家 人心 俱
人心 俱 惶惶
俱 惶惶 不定
惶惶 不定 不住
不定 不住 的
不住 的 使
的 使 人
使 人 飞马
人 飞马 来往
飞马 来往 探信
来往 探信 有
探信 有 两个
有 两个 时辰
两个 时辰 忽见
时辰 忽见 赖
忽见 赖 大
赖 大 等
大 等 三四个
等 三四个 管家
三四个 管家 喘吁吁
管家 喘吁吁 跑
喘吁吁 跑 进
跑 进 仪门
进 仪门 报喜
仪门 报喜 又说
报喜 又说 奉
又说 奉 老爷
奉 老爷 的
老爷 的 命
的 命 就
命 就 请
就 请 老太太
请 老太太 率领
老太太 率领 太太
率领 太太 等
太太 等 进宫
等 进宫 谢恩
进宫 谢恩 呢
谢恩 呢 那时
呢 那时 贾母
那时 贾母 心神不定
贾母 心神不定 在
心神不定 在 大堂
在 大堂 廊
大堂 廊 下
廊 下 伫候
下 伫候 邢王二
伫候 邢王二 夫人
邢王二 夫人 尤氏
夫人 尤氏 李纨
尤氏 李纨 凤姐
李纨 凤姐 迎春
凤姐 迎春 姊妹
迎春 姊妹 以及
姊妹 以及 薛姨妈
以及 薛姨妈 等
薛姨妈 等 皆
等 皆 聚
皆 聚 在
聚 在 一处
在 一处 打听
一处 打听 信息
打听 信息 贾母
信息 贾母 又
贾母 又 唤
又 唤 进
唤 进 赖大
进 赖大 来
赖大 来 细问
来 细问 端底
细问 端底 赖大
端底 赖大 禀道
赖大 禀道 奴才
禀道 奴才 们
奴才 们 只
们 只 在外
只 在外 朝房
在外 朝房 伺候
朝房 伺候 着
伺候 着 里头
着 里头 的
里头 的 信息
的 信息 一概不知
信息 一概不知 后来
一概不知 后来 夏
后来 夏 太监
夏 太监 出来
太监 出来 道
出来 道 喜
道 喜 说
喜 说 咱们
说 咱们 家
咱们 家 的
家 的 大
的 大 姑奶奶
大 姑奶奶 封
姑奶奶 封 为
封 为 凤藻宫
为 凤藻宫 尚书
凤藻宫 尚书 加封
尚书 加封 贤德
加封 贤德 妃
贤德 妃 后来
妃 后来 老爷
后来 老爷 出来
老爷 出来 也
出来 也 这么
也 这么 吩咐
这么 吩咐 如今
吩咐 如今 老爷
如今 老爷 又
老爷 又 往
又 往 东宫
往 东宫 里
东宫 里 去了
里 去了 急速
去了 急速 请
急速 请 太太
请 太太 们
太太 们 去
们 去 谢恩
去 谢恩 贾母
谢恩 贾母 等
贾母 等 听了
等 听了 方
听了 方 放下
方 放下 心来
放下 心来 一时
心来 一时 皆
一时 皆 喜
皆 喜 见于
喜 见于 面
见于 面 于是
面 于是 都
于是 都 按品
都 按品 大妆
按品 大妆 起来
大妆 起来 贾母
起来 贾母 率领
贾母 率领 邢王二
率领 邢王二 夫人
邢王二 夫人 并
夫人 并 尤氏
并 尤氏 一共
尤氏 一共 四乘
一共 四乘 大
四乘 大 轿
大 轿 鱼贯
轿 鱼贯 入朝
鱼贯 入朝 贾赦
入朝 贾赦 贾珍
贾赦 贾珍 亦
贾珍 亦 换
亦 换 了
换 了 朝服
了 朝服 带领
朝服 带领 贾蔷
带领 贾蔷 贾蓉
贾蔷 贾蓉 奉
贾蓉 奉 侍贾母
奉 侍贾母 前往
侍贾母 前往 宁荣
前往 宁荣 两处
宁荣 两处 上下
两处 上下 内外
上下 内外 人
内外 人 等
人 等 莫不
等 莫不 欢天喜地
莫不 欢天喜地 独有
欢天喜地 独有 宝玉
独有 宝玉 置若罔闻
宝玉 置若罔闻 你
置若罔闻 你 道
你 道 什么
道 什么 缘故
什么 缘故 原来
缘故 原来 近日
原来 近日 水月庵
近日 水月庵 的
水月庵 的 智能
的 智能 私逃
智能 私逃 入城
私逃 入城 来
入城 来 找
来 找 秦钟
找 秦钟 不意
秦钟 不意 被
不意 被 秦邦业
被 秦邦业 知觉
秦邦业 知觉 将
知觉 将 智能
将 智能 逐出
智能 逐出 将
逐出 将 秦
将 秦 钟打
秦 钟打 了
钟打 了 一顿
了 一顿 自己
一顿 自己 气
自己 气 的
气 的 老病
的 老病 发了
老病 发了 三五日
发了 三五日 便
三五日 便 呜呼哀哉
便 呜呼哀哉 了
呜呼哀哉 了 秦钟
了 秦钟 本自
秦钟 本自 怯弱
本自 怯弱 又
怯弱 又 带病
又 带病 未
带病 未 痊受
未 痊受 了
痊受 了 笞杖
了 笞杖 今见
笞杖 今见 老父
今见 老父 气死
老父 气死 悔痛
气死 悔痛 无及
悔痛 无及 又
无及 又 添
又 添 了
添 了 许多
了 许多 病症
许多 病症 因此
病症 因此 宝玉
因此 宝玉 心中
宝玉 心中 怅怅
心中 怅怅 不
怅怅 不 乐
不 乐 虽
乐 虽 有
虽 有 元春
有 元春 晋封
元春 晋封 之事
晋封 之事 那解
之事 那解 得
那解 得 他的
得 他的 愁闷
他的 愁闷 贾母
愁闷 贾母 等
贾母 等 如何
等 如何 谢恩
如何 谢恩 如何
谢恩 如何 回家
如何 回家 亲友
回家 亲友 如
亲友 如 何来
如 何来 庆贺
何来 庆贺 宁荣
庆贺 宁荣 两府
宁荣 两府 近日
两府 近日 如何
近日 如何 热闹
如何 热闹 众人
热闹 众人 如何
众人 如何 得意
如何 得意 独他
得意 独他 一个
独他 一个 皆
一个 皆 视
皆 视 有如
视 有如 无
有如 无 毫不
无 毫不 介
毫不 介 意
介 意 因此
意 因此 众人
因此 众人 嘲他
众人 嘲他 越发
嘲他 越发 呆
越发 呆 了
呆 了 且
了 且 喜
且 喜 贾琏
喜 贾琏 与
贾琏 与 黛玉
与 黛玉 回来
黛玉 回来 先遣
回来 先遣 人来
先遣 人来 报信
人来 报信 明日
报信 明日 就
明日 就 可
就 可 到家
可 到家 了
到家 了 宝玉
了 宝玉 听了
宝玉 听了 方略
听了 方略 有些
方略 有些 喜意
有些 喜意 细问
喜意 细问 原由
细问 原由 方知
原由 方知 贾雨村
方知 贾雨村 也
贾雨村 也 进京
也 进京 引见
进京 引见 皆
引见 皆 由
皆 由 王子腾
由 王子腾 累上荐
王子腾 累上荐 本
累上荐 本 此来候
本 此来候 补京缺
此来候 补京缺 与
补京缺 与 贾琏
与 贾琏 是
贾琏 是 同宗
是 同宗 弟兄
同宗 弟兄 又
弟兄 又 与
又 与 黛玉
与 黛玉 有
黛玉 有 师徒
有 师徒 之谊
师徒 之谊 故
之谊 故 同路
故 同路 作伴
同路 作伴 而
作伴 而 来
而 来 林如海
