第 87 章
87 章 感
章 感 秋声
感 秋声 抚琴
秋声 抚琴 悲
抚琴 悲 往事
悲 往事 坐
往事 坐 禅寂
坐 禅寂 走火
禅寂 走火 入
走火 入 邪魔
入 邪魔 却说
邪魔 却说 黛玉
却说 黛玉 叫进
黛玉 叫进 宝钗
叫进 宝钗 家
宝钗 家 的
家 的 女人
的 女人 来
女人 来 问
来 问 了
问 了 好
了 好 呈
好 呈 上书
呈 上书 子
上书 子 黛玉
子 黛玉 叫
黛玉 叫 他
叫 他 去
他 去 喝茶
去 喝茶 便
喝茶 便 将
便 将 宝
将 宝 钗
宝 钗 来
钗 来 书
来 书 打开
书 打开 看时
打开 看时 只见
看时 只见 上面
只见 上面 写着
上面 写着 妹
写着 妹 生辰
妹 生辰 不偶
生辰 不偶 家运多
不偶 家运多 艰
家运多 艰 姊妹
艰 姊妹 伶仃
姊妹 伶仃 萱
伶仃 萱 亲
萱 亲 衰迈
亲 衰迈 兼
衰迈 兼 之
兼 之 声
之 声 狺
声 狺 语
狺 语 旦暮
语 旦暮 无休
旦暮 无休 更
无休 更 遭
更 遭 惨祸
遭 惨祸 飞灾
惨祸 飞灾 不啻
飞灾 不啻 惊风
不啻 惊风 密雨
惊风 密雨 夜深
密雨 夜深 辗侧
夜深 辗侧 愁绪
辗侧 愁绪 何堪
愁绪 何堪 属
何堪 属 在
属 在 同心
在 同心 能
同心 能 不
能 不 为
不 为 之
为 之 愍
之 愍 恻乎
愍 恻乎 回忆
恻乎 回忆 海棠
回忆 海棠 结社
海棠 结社 序属
结社 序属 清秋
序属 清秋 对菊持
清秋 对菊持 螯
对菊持 螯 同盟
螯 同盟 欢洽
同盟 欢洽 犹记
欢洽 犹记 孤标傲世
犹记 孤标傲世 偕
孤标傲世 偕 谁
偕 谁 隐
谁 隐 一样
隐 一样 开
一样 开 花为
开 花为 底
花为 底 迟
底 迟 之句
迟 之句 未尝
之句 未尝 不叹
未尝 不叹 冷节
不叹 冷节 馀
冷节 馀 芳
馀 芳 如
芳 如 吾
如 吾 两人
吾 两人 也
两人 也 感怀
也 感怀 触绪
感怀 触绪 聊赋
触绪 聊赋 四章
聊赋 四章 匪
四章 匪 曰
匪 曰 无
曰 无 故
无 故 呻吟
故 呻吟 亦
呻吟 亦 长歌当哭
亦 长歌当哭 之意
长歌当哭 之意 耳
之意 耳 悲
耳 悲 时序
悲 时序 之
时序 之 递嬗
之 递嬗 兮
递嬗 兮 又
兮 又 属
又 属 清秋
属 清秋 感
清秋 感 遭家
感 遭家 之
遭家 之 不造
之 不造 兮
不造 兮 独处
兮 独处 离愁
独处 离愁 北堂
离愁 北堂 有
北堂 有 萱
有 萱 兮
萱 兮 何以
兮 何以 忘忧
何以 忘忧 无以
忘忧 无以 解忧
无以 解忧 兮
解忧 兮 我心
兮 我心 咻
我心 咻 咻
咻 咻 云
咻 云 凭
云 凭 凭
凭 凭 兮
凭 兮 秋风
兮 秋风 酸
秋风 酸 步
酸 步 中庭
步 中庭 兮
中庭 兮 霜叶
兮 霜叶 干
霜叶 干 何去何从
干 何去何从 兮
何去何从 兮 失
兮 失 我
失 我 故欢
我 故欢 静言思
故欢 静言思 之
静言思 之 兮
之 兮 恻
兮 恻 肺
恻 肺 肝
肺 肝 惟
肝 惟 鲔
惟 鲔 有
鲔 有 潭
有 潭 兮
潭 兮 惟鹤有
兮 惟鹤有 梁
惟鹤有 梁 鳞甲
梁 鳞甲 潜伏
鳞甲 潜伏 兮
潜伏 兮 羽毛
兮 羽毛 何长
羽毛 何长 搔首
何长 搔首 问兮
搔首 问兮 茫茫
问兮 茫茫 高天厚地
茫茫 高天厚地 兮
高天厚地 兮 谁知
兮 谁知 余之永伤
谁知 余之永伤 银河
余之永伤 银河 耿耿兮
银河 耿耿兮 寒气
耿耿兮 寒气 侵
寒气 侵 月色
侵 月色 横斜
月色 横斜 兮
横斜 兮 玉漏
兮 玉漏 沉
玉漏 沉 忧心
沉 忧心 炳炳兮发
忧心 炳炳兮发 我
炳炳兮发 我 哀吟
我 哀吟 吟复吟
哀吟 吟复吟 兮
吟复吟 兮 寄
兮 寄 我
寄 我 知音
我 知音 黛玉
知音 黛玉 看了
黛玉 看了 不胜
看了 不胜 伤感
不胜 伤感 又
伤感 又 想
又 想 宝姐姐
想 宝姐姐 不
宝姐姐 不 寄
不 寄 与
寄 与 别人
与 别人 单寄
别人 单寄 与
单寄 与 我
与 我 也是
我 也是 惺惺惜惺惺
也是 惺惺惜惺惺 的
惺惺惜惺惺 的 意思
的 意思 正在
意思 正在 沉吟
正在 沉吟 只
沉吟 只 听见
只 听见 外面
听见 外面 有人
外面 有人 说道
有人 说道 林姐姐
说道 林姐姐 在
林姐姐 在 家里
在 家里 呢
家里 呢 么
呢 么 黛玉
么 黛玉 一面
黛玉 一面 把
一面 把 宝钗
把 宝钗 的
宝钗 的 书
的 书 叠起
书 叠起 口内
叠起 口内 便
口内 便 答应
便 答应 道
答应 道 是
道 是 谁
是 谁 正问
谁 正问 着
正问 着 早见
着 早见 几个
早见 几个 人
几个 人 进来
人 进来 却是
进来 却是 探春
却是 探春 湘云
探春 湘云 李纹
湘云 李纹 李绮
李纹 李绮 彼此
李绮 彼此 问
彼此 问 了
问 了 好
了 好 雪雁
好 雪雁 倒
雪雁 倒 上
倒 上 茶
上 茶 来
茶 来 大家
来 大家 喝了
大家 喝了 说些
喝了 说些 闲话
说些 闲话 因
闲话 因 想起
因 想起 前
想起 前 年
前 年 的
年 的 菊花
的 菊花 诗
菊花 诗 来
诗 来 黛玉
来 黛玉 便道
黛玉 便道 宝姐姐
便道 宝姐姐 自从
宝姐姐 自从 挪
自从 挪 出去
挪 出去 来了
出去 来了 两遭
来了 两遭 如今
两遭 如今 索性
如今 索性 有事
索性 有事 也
有事 也 不
也 不 来了
不 来了 真真
来了 真真 奇怪
真真 奇怪 我看
奇怪 我看 他
我看 他 终久
他 终久 还来
终久 还来 我们
还来 我们 这里
我们 这里 不
这里 不 来
不 来 探春
来 探春 微笑
探春 微笑 道
微笑 道 怎么
道 怎么 不
怎么 不 来
不 来 横竖
来 横竖 要来
横竖 要来 的
要来 的 如今
的 如今 是
如今 是 他们
是 他们 尊嫂
他们 尊嫂 有些
尊嫂 有些 脾气
有些 脾气 姨妈
脾气 姨妈 上
姨妈 上 了
上 了 年纪
了 年纪 的
年纪 的 人
的 人 又
人 又 兼有
又 兼有 薛大哥
兼有 薛大哥 的
薛大哥 的 事
的 事 自然
事 自然 得
自然 得 宝姐姐
得 宝姐姐 照料
宝姐姐 照料 一切
照料 一切 那里
一切 那里 还
那里 还 比
还 比 得
比 得 先前
得 先前 有
先前 有 工夫
有 工夫 呢
工夫 呢 正说
呢 正说 着
正说 着 忽
着 忽 听得
忽 听得 唿喇喇
听得 唿喇喇 一片
唿喇喇 一片 风声
一片 风声 吹
风声 吹 了
吹 了 好些
了 好些 落叶
好些 落叶 打
落叶 打 在
打 在 窗纸
在 窗纸 上
窗纸 上 停
上 停 了
停 了 一回
了 一回 儿
一回 儿 又
儿 又 透过
又 透过 一阵
透过 一阵 清香
一阵 清香 来
清香 来 众人
来 众人 闻着
众人 闻着 都
闻着 都 说道
都 说道 这是
说道 这是 何处
这是 何处 来
何处 来 的
来 的 香风
的 香风 这像
香风 这像 什么
这像 什么 香
什么 香 黛玉
香 黛玉 道
黛玉 道 好像
道 好像 木樨
好像 木樨 香
木樨 香 探春
香 探春 笑道
探春 笑道 林姐姐
笑道 林姐姐 终不脱
林姐姐 终不脱 南边
终不脱 南边 人
南边 人 的话
人 的话 这大
的话 这大 九月
这大 九月 里
九月 里 的
里 的 那
的 那 里
那 里 还有
里 还有 桂花
还有 桂花 呢
桂花 呢 黛玉
呢 黛玉 笑道
黛玉 笑道 原是
笑道 原是 啊
原是 啊 不然
啊 不然 怎么
不然 怎么 不竟
怎么 不竟 说
不竟 说 是
说 是 桂花香
是 桂花香 只说
桂花香 只说 似
只说 似 乎
似 乎 像
乎 像 呢
像 呢 湘云
呢 湘云 道
湘云 道 三
道 三 姐姐
三 姐姐 你
姐姐 你 也
你 也 别说
也 别说 你
别说 你 可
你 可 记得
可 记得 十里
记得 十里 荷花
十里 荷花 三秋
荷花 三秋 桂子
三秋 桂子 在
桂子 在 南边
在 南边 正是
南边 正是 晚桂开
正是 晚桂开 的
晚桂开 的 时候
的 时候 了
时候 了 你
了 你 只
你 只 没有
只 没有 见过
没有 见过 罢了
见过 罢了 等
罢了 等 你
等 你 明日
你 明日 到
明日 到 南边
到 南边 去
南边 去 的
去 的 时候
的 时候 你
时候 你 自
你 自 然
自 然 也
然 也 就
也 就 知道
就 知道 了
知道 了 探春
了 探春 笑道
探春 笑道 我
笑道 我 有
我 有 什么
有 什么 事到
什么 事到 南边
事到 南边 去
南边 去 况且
去 况且 这个
况且 这个 也是
这个 也是 我
也是 我 早
我 早 知道
早 知道 的
知道 的 不用
的 不用 你们
不用 你们 说
你们 说 嘴
说 嘴 李纹
嘴 李纹 李绮
李纹 李绮 只
李绮 只 抿着嘴
只 抿着嘴 儿笑
抿着嘴 儿笑 黛玉
儿笑 黛玉 道
黛玉 道 妹妹
道 妹妹 这
妹妹 这 可
这 可 说
可 说 不齐
说 不齐 俗语
不齐 俗语 说
俗语 说 人
说 人 是
人 是 地行
是 地行 仙
地行 仙 今日
仙 今日 在
今日 在 这里
在 这里 明日
这里 明日 就
明日 就 不知
就 不知 在
不知 在 那里
在 那里 譬如
那里 譬如 我
譬如 我 原是
我 原是 南边
原是 南边 人
南边 人 怎么
人 怎么 到了
怎么 到了 这里
到了 这里 呢
这里 呢 湘云
呢 湘云 拍
湘云 拍 着手
拍 着手 笑道
着手 笑道 今儿
笑道 今儿 三
今儿 三 姐姐
三 姐姐 可叫
姐姐 可叫 林姐姐
可叫 林姐姐 问住
林姐姐 问住 了
问住 了 不但
了 不但 林姐姐
不但 林姐姐 是
林姐姐 是 南边
是 南边 人到
南边 人到 这里
人到 这里 就是
这里 就是 我们
就是 我们 这
我们 这 几个
这 几个 人
几个 人 就
人 就 不同
就 不同 也有
不同 也有 本来
也有 本来 是
本来 是 北边
是 北边 的
北边 的 也有
的 也有 根子
也有 根子 是
根子 是 南边
是 南边 生长
南边 生长 在
生长 在 北边
在 北边 的
北边 的 也有
的 也有 生长
也有 生长 在
生长 在 南边
在 南边 到
南边 到 这
到 这 北边
这 北边 的
北边 的 今儿
的 今儿 大家
今儿 大家 都
大家 都 凑
都 凑 在
凑 在 一处
在 一处 可见
一处 可见 人
可见 人 总有
人 总有 一个
总有 一个 定数
一个 定数 大凡
定数 大凡 地
大凡 地 和
地 和 人
和 人 总是
人 总是 各自
总是 各自 有缘分
各自 有缘分 的
有缘分 的 众人
的 众人 听了
众人 听了 都
听了 都 点头
都 点头 探春
点头 探春 也
探春 也 只是
也 只是 笑
只是 笑 又说
笑 又说 了
又说 了 一会子
了 一会子 闲话
一会子 闲话 儿
闲话 儿 大家
儿 大家 散出
大家 散出 黛玉
散出 黛玉 送至
黛玉 送至 门口
送至 门口 大家
门口 大家 都说
大家 都说 你
都说 你 身上
你 身上 才
身上 才 好些
才 好些 别
好些 别 出来
别 出来 了
出来 了 看着
了 看着 了
看着 了 风
了 风 于是
风 于是 黛玉
于是 黛玉 一面
黛玉 一面 说着
一面 说着 话儿
说着 话儿 一面
话儿 一面 站
一面 站 在
站 在 门口
在 门口 又
门口 又 与
又 与 四人
与 四人 殷勤
四人 殷勤 了
殷勤 了 几句
了 几句 便
几句 便 看着
便 看着 他们
看着 他们 出
他们 出 院
出 院 去了
院 去了 进来
去了 进来 坐着
进来 坐着 看看
坐着 看看 已
看看 已 是
已 是 林鸟
是 林鸟 归山
林鸟 归山 夕阳
归山 夕阳 西坠
夕阳 西坠 因
西坠 因 史湘云
因 史湘云 说起
史湘云 说起 南边
说起 南边 的话
南边 的话 便
的话 便 想
便 想 着
想 着 父母
着 父母 若
父母 若 在
若 在 南边
在 南边 的
南边 的 景致
的 景致 春花秋月
景致 春花秋月 水秀山明
春花秋月 水秀山明 二十四
水秀山明 二十四 桥
二十四 桥 六朝
桥 六朝 遗迹
六朝 遗迹 不少
遗迹 不少 下人
不少 下人 伏侍
下人 伏侍 诸事
伏侍 诸事 可以
诸事 可以 任意
可以 任意 言语
任意 言语 亦可
言语 亦可 不避
亦可 不避 香车
不避 香车 画舫
香车 画舫 红杏青帘
画舫 红杏青帘 惟我独尊
红杏青帘 惟我独尊 今日
惟我独尊 今日 寄人篱下
今日 寄人篱下 纵
寄人篱下 纵 有
纵 有 许多
有 许多 照应
许多 照应 自己
照应 自己 无处
自己 无处 不要
无处 不要 留心
不要 留心 不知
留心 不知 前生
不知 前生 作了
前生 作了 什么
作了 什么 罪孽
什么 罪孽 今生
罪孽 今生 这样
今生 这样 孤凄
这样 孤凄 真是
孤凄 真是 李后主
真是 李后主 说的
李后主 说的 此间
说的 此间 日中
此间 日中 只
日中 只 以
只 以 眼泪
以 眼泪 洗面
眼泪 洗面 矣
洗面 矣 一面
矣 一面 思想
一面 思想 不知不觉
思想 不知不觉 神
不知不觉 神 往
神 往 那里
往 那里 去了
那里 去了 紫鹃
去了 紫鹃 走来
紫鹃 走来 看见
走来 看见 这样
看见 这样 光景
这样 光景 想着
光景 想着 必是
想着 必是 因
必是 因 刚才
因 刚才 说起
刚才 说起 南边
说起 南边 北边
南边 北边 的话
北边 的话 来
的话 来 一时
来 一时 触着
一时 触着 黛
触着 黛 玉
黛 玉 的
玉 的 心事
的 心事 了
心事 了 便
了 便 问道
便 问道 姑娘
问道 姑娘 们
姑娘 们 来
们 来 说了半天
来 说了半天 话
说了半天 话 想来
话 想来 姑娘
想来 姑娘 又
姑娘 又 劳
又 劳 了
劳 了 神
了 神 了
神 了 刚才
了 刚才 我
刚才 我 叫
我 叫 雪
叫 雪 雁
雪 雁 告诉
雁 告诉 厨房
告诉 厨房 里
厨房 里 给
里 给 姑娘
给 姑娘 作了
姑娘 作了 一碗
作了 一碗 火肉
一碗 火肉 白菜汤
火肉 白菜汤 加
白菜汤 加 了
加 了 一点儿
了 一点儿 虾米
一点儿 虾米 儿
虾米 儿 配
儿 配 了
配 了 点
了 点 青笋
点 青笋 紫菜
青笋 紫菜 姑娘
紫菜 姑娘 想着
姑娘 想着 好
想着 好 么
好 么 黛玉
么 黛玉 道
黛玉 道 也罢
道 也罢 了
也罢 了 紫鹃
了 紫鹃 道
紫鹃 道 还
道 还 熬
还 熬 了
熬 了 一点
了 一点 江
一点 江 米粥
江 米粥 黛玉
米粥 黛玉 点
黛玉 点 点头
点 点头 儿
点头 儿 又
儿 又 说道
又 说道 那
说道 那 粥
那 粥 得
粥 得 你们
得 你们 两个
你们 两个 自己
两个 自己 熬
自己 熬 了
熬 了 不用
了 不用 他们
不用 他们 厨房
他们 厨房 里
厨房 里 熬
里 熬 才
熬 才 是
才 是 紫鹃
是 紫鹃 道
紫鹃 道 我
道 我 也
我 也 怕
也 怕 厨房
怕 厨房 里弄
厨房 里弄 的
里弄 的 不
的 不 干净
不 干净 我们
干净 我们 自己
我们 自己 熬
自己 熬 呢
熬 呢 就是
呢 就是 那汤
就是 那汤 我
那汤 我 也
我 也 告诉
也 告诉 雪雁
告诉 雪雁 合柳
雪雁 合柳 嫂儿
合柳 嫂儿 说
嫂儿 说 了
说 了 要
了 要 弄
要 弄 干净
弄 干净 着
干净 着 柳嫂儿
着 柳嫂儿 说
柳嫂儿 说 了
说 了 他
了 他 打点
他 打点 妥当
打点 妥当 拿到
妥当 拿到 他
拿到 他 屋里
他 屋里 叫
屋里 叫 他们
叫 他们 五儿
他们 五儿 瞅
五儿 瞅 着
瞅 着 炖
着 炖 呢
炖 呢 黛玉
呢 黛玉 道
黛玉 道 我
道 我 倒
我 倒 不是
倒 不是 嫌人家
不是 嫌人家 腌
嫌人家 腌 只是
腌 只是 病了
只是 病了 好些
病了 好些 日子
好些 日子 不周
日子 不周 不备
不周 不备 都是
不备 都是 人家
都是 人家 这会
人家 这会 子
这会 子 又
子 又 汤儿
又 汤儿 粥
汤儿 粥 儿
粥 儿 的
儿 的 调度
的 调度 未免
调度 未免 惹人厌
未免 惹人厌 烦
惹人厌 烦 说着
烦 说着 眼圈儿
说着 眼圈儿 又
眼圈儿 又 红
又 红 了
红 了 紫鹃
了 紫鹃 道
紫鹃 道 姑娘
道 姑娘 这
姑娘 这 话
这 话 也是
话 也是 多想
也是 多想 姑娘
多想 姑娘 是
姑娘 是 老太太
是 老太太 的
老太太 的 外孙女儿
的 外孙女儿 又是
外孙女儿 又是 老太太
又是 老太太 心
老太太 心 坎儿
心 坎儿 上
坎儿 上 的
上 的 别人
的 别人 求其
别人 求其 在
求其 在 姑娘
在 姑娘 跟前
姑娘 跟前 讨好
跟前 讨好 儿
讨好 儿 还
儿 还 不能
还 不能 呢
不能 呢 那里
呢 那里 有
那里 有 抱怨
有 抱怨 的
抱怨 的 黛玉
的 黛玉 点点头
黛玉 点点头 儿
点点头 儿 因
儿 因 又
因 又 问道
又 问道 你
问道 你 才
你 才 说的
才 说的 五
说的 五 儿
五 儿 不是
儿 不是 那日
不是 那日 合
那日 合 宝二爷
合 宝二爷 那边
宝二爷 那边 的
那边 的 芳官
的 芳官 在
芳官 在 一处
在 一处 的
一处 的 那个
的 那个 女孩儿
那个 女孩儿 紫鹃
女孩儿 紫鹃 道
紫鹃 道 就是
道 就是 他
就是 他 黛玉
他 黛玉 道
黛玉 道 不
道 不 听见
不 听见 说
听见 说 要
说 要 进来
要 进来 么
进来 么 紫鹃
么 紫鹃 道
紫鹃 道 可不是
道 可不是 因为
可不是 因为 病了
因为 病了 一场
病了 一场 后来
一场 后来 好了
后来 好了 才
好了 才 要
才 要 进来
要 进来 正是
进来 正是 晴雯
正是 晴雯 他们
晴雯 他们 闹
他们 闹 出事
闹 出事 来
出事 来 的
来 的 时候
的 时候 也
时候 也 就
也 就 耽搁
就 耽搁 住
耽搁 住 了
住 了 黛玉
了 黛玉 道
黛玉 道 我看
道 我看 那丫
我看 那丫 头
那丫 头 倒
头 倒 也
倒 也 还
也 还 头
还 头 脸儿
头 脸儿 干净
脸儿 干净 说着
干净 说着 外头
说着 外头 婆子
外头 婆子 送了
婆子 送了 汤来
送了 汤来 雪雁
汤来 雪雁 出来
雪雁 出来 接时
出来 接时 那婆子
接时 那婆子 说道
那婆子 说道 柳嫂儿
说道 柳嫂儿 叫
柳嫂儿 叫 回
叫 回 姑娘
回 姑娘 这是
姑娘 这是 他们
这是 他们 五儿
他们 五儿 作
五儿 作 的
作 的 没敢
的 没敢 在
没敢 在 大厨
在 大厨 房里
大厨 房里 作
房里 作 怕
作 怕 姑娘
怕 姑娘 嫌
姑娘 嫌 腌
嫌 腌 雪
腌 雪 雁
雪 雁 答应
雁 答应 着
答应 着 接了
着 接了 进来
