第 94 章
94 章 宴
章 宴 海棠
宴 海棠 贾母赏
海棠 贾母赏 花妖
贾母赏 花妖 失
花妖 失 宝玉
失 宝玉 通灵知
宝玉 通灵知 奇祸
通灵知 奇祸 话
奇祸 话 说
话 说 赖大
说 赖大 带了
赖大 带了 贾芹
带了 贾芹 出来
贾芹 出来 一宿
出来 一宿 无话
一宿 无话 静候
无话 静候 贾政回
静候 贾政回 来
贾政回 来 单是
来 单是 那些
单是 那些 女尼
那些 女尼 女道
女尼 女道 重
女道 重 进园
重 进园 来
进园 来 都
来 都 喜欢
都 喜欢 的
喜欢 的 了不得
的 了不得 欲
了不得 欲 要
欲 要 到
要 到 各处
到 各处 逛逛
各处 逛逛 明日
逛逛 明日 预备
明日 预备 进宫
预备 进宫 不料
进宫 不料 赖
不料 赖 大便
赖 大便 吩咐
大便 吩咐 了
吩咐 了 看园
了 看园 的
看园 的 婆子
的 婆子 并
婆子 并 小厮
并 小厮 看守
小厮 看守 惟给
看守 惟给 了
惟给 了 些
了 些 饭食
些 饭食 却是
饭食 却是 一步
却是 一步 不准
一步 不准 走开
不准 走开 那些
走开 那些 女孩子
那些 女孩子 摸不着头脑
女孩子 摸不着头脑 只
摸不着头脑 只 得
只 得 坐着
得 坐着 等到
坐着 等到 天亮
等到 天亮 园里
天亮 园里 各处
园里 各处 的
各处 的 丫头
的 丫头 虽
丫头 虽 都
虽 都 知道
都 知道 拉进
知道 拉进 女尼
拉进 女尼 们
女尼 们 来
们 来 预备
来 预备 宫里
预备 宫里 使唤
宫里 使唤 却
使唤 却 也
却 也 不能
也 不能 深知
不能 深知 原委
深知 原委 到了
原委 到了 明日
到了 明日 早起
明日 早起 贾政正
早起 贾政正 要
贾政正 要 下班
要 下班 因
下班 因 堂上
因 堂上 发下
堂上 发下 两
发下 两 省城
两 省城 工估销
省城 工估销 册子
工估销 册子 立刻
册子 立刻 要
立刻 要 查核
要 查核 一时
查核 一时 不能
一时 不能 回家
不能 回家 便叫
回家 便叫 人
便叫 人 回来
人 回来 告诉
回来 告诉 贾琏
告诉 贾琏 说
贾琏 说 赖大
说 赖大 回来
赖大 回来 你
回来 你 务必
你 务必 查问
务必 查问 明白
查问 明白 该
明白 该 如何
该 如何 办
如何 办 就
办 就 如何
就 如何 办
如何 办 了
办 了 不必
了 不必 等
不必 等 我
等 我 贾琏
我 贾琏 奉命
贾琏 奉命 先替
奉命 先替 芹儿
先替 芹儿 喜欢
芹儿 喜欢 又
喜欢 又 想道
又 想道 若是
想道 若是 办得
若是 办得 一点
办得 一点 影
一点 影 儿
影 儿 都
儿 都 没有
都 没有 又
没有 又 恐
又 恐 贾政
恐 贾政 生疑
贾政 生疑 不如
生疑 不如 回明
不如 回明 二
回明 二 太太
二 太太 讨个
太太 讨个 主意
讨个 主意 办去
主意 办去 便是
办去 便是 不合
便是 不合 老爷
不合 老爷 的
老爷 的 心
的 心 我
心 我 也
我 也 不
也 不 至
不 至 甚担
至 甚担 干系
甚担 干系 主意
干系 主意 定
主意 定 了
定 了 进内
了 进内 去
进内 去 见
去 见 王夫人
见 王夫人 陈说
王夫人 陈说 昨日
陈说 昨日 老爷
昨日 老爷 见
老爷 见 了
见 了 揭帖
了 揭帖 生
揭帖 生 气
生 气 把
气 把 芹儿
把 芹儿 和
芹儿 和 女尼
和 女尼 女道
女尼 女道 等
女道 等 都
等 都 叫
都 叫 进府
叫 进府 来
进府 来 查办
来 查办 今日
查办 今日 老爷
今日 老爷 没空
老爷 没空 问
没空 问 这件
问 这件 不成体统
这件 不成体统 的
不成体统 的 事
的 事 叫
事 叫 我
叫 我 来回
我 来回 太太
来回 太太 该
太太 该 怎么
该 怎么 便
怎么 便 怎么样
便 怎么样 我
怎么样 我 所以
我 所以 来
所以 来 请示
来 请示 太太
请示 太太 这件
太太 这件 事
这件 事 如何
事 如何 办理
如何 办理 王夫人
办理 王夫人 听了
王夫人 听了 诧异
听了 诧异 道
诧异 道 这是
道 这是 怎么
这是 怎么 说
怎么 说 若是
说 若是 芹儿
若是 芹儿 这么样
芹儿 这么样 起来
这么样 起来 这
起来 这 还
这 还 成
还 成 咱们
成 咱们 家
咱们 家 的
家 的 人
的 人 了
人 了 么
了 么 但
么 但 只
但 只 这个
只 这个 贴
这个 贴 帖
贴 帖 儿
帖 儿 的
儿 的 也
的 也 可恶
也 可恶 这些
可恶 这些 话
这些 话 可是
话 可是 混嚼
可是 混嚼 说得
混嚼 说得 的
说得 的 么
的 么 你
么 你 到底
你 到底 问
到底 问 了
问 了 芹儿
了 芹儿 有
芹儿 有 这件
有 这件 事
这件 事 没有
事 没有 呢
没有 呢 贾琏
呢 贾琏 道
贾琏 道 刚才
道 刚才 也
刚才 也 问
也 问 过了
问 过了 太太
过了 太太 想
太太 想 别说
想 别说 他
别说 他 干
他 干 了
干 了 没有
了 没有 就是
没有 就是 干
就是 干 了
干 了 一
了 一 个人
一 个人 干
个人 干 了
干 了 混账
了 混账 事
混账 事 也
事 也 肯
也 肯 应承
肯 应承 么
应承 么 但
么 但 只
但 只 我想
只 我想 芹儿
我想 芹儿 也
芹儿 也 不敢
也 不敢 行
不敢 行 此事
行 此事 知道
此事 知道 那些
知道 那些 女孩子
那些 女孩子 都是
女孩子 都是 娘
都是 娘 娘
娘 娘 一时
娘 一时 要
一时 要 叫
要 叫 的
叫 的 倘或
的 倘或 闹
倘或 闹 出事
闹 出事 来
出事 来 怎么样
来 怎么样 呢
怎么样 呢 依
呢 依 侄儿
依 侄儿 的
侄儿 的 主见
的 主见 要
主见 要 问
要 问 也
问 也 不难
也 不难 若
不难 若 问
若 问 出来
问 出来 太太
出来 太太 怎么
太太 怎么 个
怎么 个 办法
个 办法 呢
办法 呢 王夫人
呢 王夫人 道
王夫人 道 如今
道 如今 那些
如今 那些 女孩子
那些 女孩子 在
女孩子 在 那里
在 那里 贾琏
那里 贾琏 道
贾琏 道 都
道 都 在
都 在 园
在 园 里
园 里 锁
里 锁 着
锁 着 呢
着 呢 王夫人
呢 王夫人 道
王夫人 道 姑娘
道 姑娘 们
姑娘 们 知道
们 知道 不
知道 不 知道
不 知道 贾琏
知道 贾琏 道
贾琏 道 大约
道 大约 姑娘
大约 姑娘 们
姑娘 们 也
们 也 都
也 都 知道
都 知道 是
知道 是 预备
是 预备 宫里
预备 宫里 头
宫里 头 的话
头 的话 外头
的话 外头 并
外头 并 没
并 没 提起
没 提起 别的
提起 别的 来
别的 来 王夫人
来 王夫人 道
王夫人 道 很是
道 很是 这些
很是 这些 东西
这些 东西 一刻
东西 一刻 也
一刻 也 是
也 是 留
是 留 不得
留 不得 的
不得 的 头里
的 头里 我
头里 我 原要
我 原要 打发
原要 打发 他们
打发 他们 去
他们 去 来
去 来 着
来 着 都是
着 都是 你们
都是 你们 说
你们 说 留
说 留 着
留 着 好
着 好 如今
好 如今 不是
如今 不是 弄
不是 弄 出事
弄 出事 来
出事 来 了
来 了 么
了 么 你
么 你 竟
你 竟 叫
竟 叫 赖大
叫 赖大 带了
赖大 带了 去
带了 去 细细
去 细细 儿
细细 儿 的
儿 的 问
的 问 他的
问 他的 本家儿
他的 本家儿 有人
本家儿 有人 没有
有人 没有 将
没有 将 文书
将 文书 查出
文书 查出 花上
查出 花上 几十
花上 几十 两
几十 两 银子
两 银子 雇只
银子 雇只 船
雇只 船 派个
船 派个 妥当
派个 妥当 人
妥当 人 送到
人 送到 本地
送到 本地 一概
本地 一概 连
一概 连 文书
连 文书 发还
文书 发还 了
发还 了 也
了 也 落得
也 落得 无事
落得 无事 若是
无事 若是 为着
若是 为着 一两个
为着 一两个 不好
一两个 不好 个个
不好 个个 都
个个 都 押
都 押 着
押 着 他们
着 他们 还俗
他们 还俗 那
还俗 那 又
那 又 太
又 太 造孽
太 造孽 了
造孽 了 若
了 若 在
若 在 这里
在 这里 发给
这里 发给 官媒
发给 官媒 虽然
官媒 虽然 我们
虽然 我们 不要
我们 不要 身价
不要 身价 他们
身价 他们 弄
他们 弄 去
弄 去 卖钱
去 卖钱 那里
卖钱 那里 顾人
那里 顾人 的
顾人 的 死活
的 死活 呢
死活 呢 芹儿
呢 芹儿 呢
芹儿 呢 你
呢 你 便
你 便 狠狠
便 狠狠 的
狠狠 的 说
的 说 他
说 他 一顿
他 一顿 除了
一顿 除了 祭祀
除了 祭祀 喜庆
祭祀 喜庆 无事
喜庆 无事 叫
无事 叫 他
叫 他 不用
他 不用 到
不用 到 这里
到 这里 来
这里 来 看
来 看 仔细
看 仔细 碰
仔细 碰 在
碰 在 老爷
在 老爷 气
老爷 气 头儿
气 头儿 上
头儿 上 那
上 那 可
那 可 就
可 就 吃
就 吃 不了
吃 不了 兜着走
不了 兜着走 了
兜着走 了 也说
了 也说 给
也说 给 账房
给 账房 儿里
账房 儿里 把
儿里 把 这
把 这 一项
这 一项 钱粮
一项 钱粮 档子
钱粮 档子 销了
档子 销了 还
销了 还 打发
还 打发 个人
打发 个人 到
个人 到 水月庵
到 水月庵 说
水月庵 说 老
说 老 爷
老 爷 的
爷 的 谕
的 谕 除了
谕 除了 上坟
除了 上坟 烧纸
上坟 烧纸 要
烧纸 要 有
要 有 本家
有 本家 爷们
本家 爷们 到
爷们 到 他
到 他 那里
他 那里 去
那里 去 不许
去 不许 接待
不许 接待 若
接待 若 再有
