第 116 章
116 章 得
章 得 通灵
得 通灵 幻境
通灵 幻境 悟
幻境 悟 仙缘
悟 仙缘 送
仙缘 送 慈柩
送 慈柩 故乡
慈柩 故乡 全
故乡 全 孝道
全 孝道 话
孝道 话 说
话 说 宝玉
说 宝玉 一听
宝玉 一听 麝月
一听 麝月 的话
麝月 的话 身
的话 身 往后仰
身 往后仰 复
往后仰 复 又
复 又 死去
又 死去 急得
死去 急得 王夫人
急得 王夫人 等
王夫人 等 哭叫
等 哭叫 不止
哭叫 不止 麝月
不止 麝月 自知
麝月 自知 失言
自知 失言 致祸
失言 致祸 此时
致祸 此时 王夫人
此时 王夫人 等
王夫人 等 也
等 也 不及
也 不及 说
不及 说 他
说 他 那
他 那 麝月
那 麝月 一面
麝月 一面 哭
一面 哭 着
哭 着 一面
着 一面 打算
一面 打算 主意
打算 主意 心想
主意 心想 若是
心想 若是 宝玉
若是 宝玉 一死
宝玉 一死 我
一死 我 便
我 便 自尽
便 自尽 跟
自尽 跟 了
跟 了 他
了 他 去
他 去 不
去 不 言
不 言 麝月
言 麝月 心里
麝月 心里 的
心里 的 事
的 事 且说
事 且说 王夫人
且说 王夫人 等
王夫人 等 见
等 见 叫
见 叫 不
叫 不 回来
不 回来 赶着
回来 赶着 叫人
赶着 叫人 出来
叫人 出来 找
出来 找 和尚
找 和尚 救治
和尚 救治 岂
救治 岂 知
岂 知 贾政进
知 贾政进 内
贾政进 内 出去
内 出去 时
出去 时 那
时 那 和尚
那 和尚 已
和尚 已 不见
已 不见 了
不见 了 贾政正
了 贾政正 在
贾政正 在 诧异
在 诧异 听见
诧异 听见 里头
听见 里头 又
里头 又 闹
又 闹 急忙
闹 急忙 进来
急忙 进来 见
进来 见 宝玉
见 宝玉 又是
宝玉 又是 先前
又是 先前 的
先前 的 样子
的 样子 牙关紧闭
样子 牙关紧闭 脉息
牙关紧闭 脉息 全无
脉息 全无 用手
全无 用手 在
用手 在 心窝
在 心窝 中一摸
心窝 中一摸 尚是
中一摸 尚是 温热
尚是 温热 贾
温热 贾 政
贾 政 只得
政 只得 急忙
只得 急忙 请医
急忙 请医 灌药
请医 灌药 救治
灌药 救治 那知
救治 那知 那宝玉
那知 那宝玉 的
那宝玉 的 魂魄
的 魂魄 早已
魂魄 早已 出了
早已 出了 窍
出了 窍 了
窍 了 你
了 你 道
你 道 死了
道 死了 不成
死了 不成 却
不成 却 原来
却 原来 恍恍惚惚
原来 恍恍惚惚 赶到
恍恍惚惚 赶到 前厅
赶到 前厅 见
前厅 见 那
见 那 送玉
那 送玉 的
