第 7 章
7 章 送
章 送 宫花
送 宫花 贾琏
宫花 贾琏 戏熙凤
贾琏 戏熙凤 宴
戏熙凤 宴 宁府宝玉
宴 宁府宝玉 会
宁府宝玉 会 秦钟
会 秦钟 话
秦钟 话 说
话 说 周瑞家的
说 周瑞家的 送了
周瑞家的 送了 刘
送了 刘 老老
刘 老老 去
老老 去 后
去 后 便
后 便 上
便 上 来回
上 来回 王夫人
来回 王夫人 话
王夫人 话 谁知
话 谁知 王夫人
谁知 王夫人 不在
王夫人 不在 上房
不在 上房 问
上房 问 丫鬟
问 丫鬟 们
丫鬟 们 方知
们 方知 往
方知 往 薛姨妈
往 薛姨妈 那边
薛姨妈 那边 说话
那边 说话 儿
说话 儿 去了
儿 去了 周瑞家的
去了 周瑞家的 听说
周瑞家的 听说 便
听说 便 出东
便 出东 角门
出东 角门 过
角门 过 东院
过 东院 往梨香
东院 往梨香 院来
往梨香 院来 刚至
院来 刚至 院门
刚至 院门 前
院门 前 只见
前 只见 王夫人
只见 王夫人 的
王夫人 的 丫鬟
的 丫鬟 金钏儿
丫鬟 金钏儿 和
金钏儿 和 那
和 那 一个
那 一个 才
一个 才 留头
才 留头 的
留头 的 小
的 小 女孩儿
小 女孩儿 站
女孩儿 站 在
站 在 台阶
在 台阶 儿上
台阶 儿上 玩
儿上 玩 呢
玩 呢 看见
呢 看见 周瑞家的
看见 周瑞家的 进来
周瑞家的 进来 便知
进来 便知 有话
便知 有话 来回
有话 来回 因
来回 因 往里
因 往里 努嘴儿
往里 努嘴儿 周瑞家的
努嘴儿 周瑞家的 轻轻
周瑞家的 轻轻 掀帘
轻轻 掀帘 进去
掀帘 进去 见
进去 见 王夫人
见 王夫人 正
王夫人 正 和
正 和 薛姨妈
和 薛姨妈 长篇大套
薛姨妈 长篇大套 的
长篇大套 的 说些
的 说些 家务
说些 家务 人
家务 人 情话
人 情话 周
情话 周 瑞家
周 瑞家 的
瑞家 的 不敢
的 不敢 惊动
不敢 惊动 遂
惊动 遂 进
遂 进 里间
进 里间 来
里间 来 只见
来 只见 薛宝钗
只见 薛宝钗 家常
薛宝钗 家常 打扮
家常 打扮 头上
打扮 头上 只
头上 只 挽着
只 挽着 儿
挽着 儿 坐在
儿 坐在 炕里
坐在 炕里 边
炕里 边 伏
边 伏 在
伏 在 几上
在 几上 和
几上 和 丫鬟
和 丫鬟 莺儿
丫鬟 莺儿 正在
莺儿 正在 那里
正在 那里 描花
那里 描花 样子
描花 样子 呢
样子 呢 见
呢 见 他
见 他 进来
他 进来 便
进来 便 放下
便 放下 笔
放下 笔 转过身
笔 转过身 满
转过身 满 面
满 面 堆笑
面 堆笑 让
堆笑 让 周姐姐
让 周姐姐 坐
周姐姐 坐 周瑞家的
坐 周瑞家的 也
周瑞家的 也 忙
也 忙 陪笑
忙 陪笑 问道
陪笑 问道 姑娘
问道 姑娘 好
姑娘 好 一面
好 一面 炕沿
一面 炕沿 边
炕沿 边 坐
边 坐 了
坐 了 因说
了 因说 这有
因说 这有 两三天
这有 两三天 也
两三天 也 没见
也 没见 姑娘
没见 姑娘 到
姑娘 到 那边
到 那边 逛逛
那边 逛逛 去
逛逛 去 只怕
去 只怕 是
只怕 是 你
是 你 宝兄弟
你 宝兄弟 冲撞
宝兄弟 冲撞 了
冲撞 了 你
了 你 不成
你 不成 宝钗笑
