第 17 章
17 章 大观园
章 大观园 试才题
大观园 试才题 对额
试才题 对额 荣国府
对额 荣国府 归省
荣国府 归省 庆
归省 庆 元宵
庆 元宵 话
元宵 话 说
话 说 秦钟
说 秦钟 既
秦钟 既 死
既 死 宝玉
死 宝玉 痛哭
宝玉 痛哭 不止
痛哭 不止 李贵
不止 李贵 等
李贵 等 好容易
等 好容易 劝解
好容易 劝解 半日方
劝解 半日方 住
半日方 住 归时
住 归时 还
归时 还 带
还 带 馀
带 馀 哀
馀 哀 贾母
哀 贾母 帮
贾母 帮 了
帮 了 几十两
了 几十两 银子
几十两 银子 外
银子 外 又
外 又 另备
又 另备 奠仪
另备 奠仪 宝玉
奠仪 宝玉 去
宝玉 去 吊祭
去 吊祭 七日
吊祭 七日 后
七日 后 便
后 便 送殡
便 送殡 掩埋
送殡 掩埋 了
掩埋 了 别无记
了 别无记 述
别无记 述 只有
述 只有 宝玉
只有 宝玉 日日
宝玉 日日 感悼
日日 感悼 思念
感悼 思念 不已
思念 不已 然亦
不已 然亦 无可如何
然亦 无可如何 了
无可如何 了 又
了 又 不知
又 不知 过了
不知 过了 几时
过了 几时 才
几时 才 罢
才 罢 这
罢 这 日贾珍
这 日贾珍 等
日贾珍 等 来回
等 来回 贾政
来回 贾政 园内
贾政 园内 工程
园内 工程 俱
工程 俱 已
俱 已 告竣
已 告竣 大老爷
告竣 大老爷 已
大老爷 已 瞧
已 瞧 过了
瞧 过了 只
过了 只 等
只 等 老爷
等 老爷 瞧了
老爷 瞧了 或
瞧了 或 有
或 有 不妥
有 不妥 之
不妥 之 处
之 处 再行
处 再行 改造
再行 改造 好题
改造 好题 匾额
好题 匾额 对联
匾额 对联 贾政听
对联 贾政听 了
贾政听 了 沉思
了 沉思 一会
沉思 一会 说道
一会 说道 这
说道 这 匾
这 匾 对
匾 对 倒是
对 倒是 一件
倒是 一件 难事
一件 难事 论礼
难事 论礼 该
论礼 该 请
该 请 贵妃
请 贵妃 赐题
贵妃 赐题 才
赐题 才 是
才 是 然
是 然 贵妃
然 贵妃 若不
贵妃 若不 亲观
若不 亲观 其景
亲观 其景 亦
其景 亦 难
亦 难 悬拟
难 悬拟 若直
悬拟 若直 待
若直 待 贵妃
待 贵妃 游幸
贵妃 游幸 时
游幸 时 再行
时 再行 请题
再行 请题 若大
请题 若大 景致
若大 景致 若干
景致 若干 亭榭
若干 亭榭 无字
亭榭 无字 标题
无字 标题 任是
标题 任是 花柳
任是 花柳 山水
花柳 山水 也
山水 也 断
也 断 不
断 不 能
不 能 生色
能 生色 众
生色 众 清客
众 清客 在
清客 在 旁
在 旁 笑
旁 笑 答道
笑 答道 老世翁
答道 老世翁 所见
老世翁 所见 极是
所见 极是 如今
极是 如今 我们
如今 我们 有个
我们 有个 主意
有个 主意 各处
主意 各处 匾对
各处 匾对 断
匾对 断 不可
断 不可 少
不可 少 亦
少 亦 断
亦 断 不可
断 不可 定
不可 定 如今
定 如今 且
如今 且 按
且 按 其
按 其 景致
其 景致 或
景致 或 两字
或 两字 三字
两字 三字 四字
三字 四字 虚合
四字 虚合 其意
虚合 其意 拟
其意 拟 了
拟 了 来
了 来 暂且
来 暂且 做出
暂且 做出 灯
做出 灯 匾
灯 匾 对联
匾 对联 悬
对联 悬 了
悬 了 待
了 待 贵妃
待 贵妃 游幸
贵妃 游幸 时
