第 59 章
59 章 柳叶渚
章 柳叶渚 边
柳叶渚 边 嗔
边 嗔 莺
嗔 莺 叱燕
莺 叱燕 绛
叱燕 绛 芸
绛 芸 轩里
芸 轩里 召将
轩里 召将 飞符
召将 飞符 话
飞符 话 说
话 说 宝玉
说 宝玉 闻听
宝玉 闻听 贾母
闻听 贾母 等
贾母 等 回来
等 回来 随多添
回来 随多添 了
随多添 了 一件
了 一件 衣裳
一件 衣裳 拄
衣裳 拄 了
拄 了 杖
了 杖 前边
杖 前边 来
前边 来 都
来 都 见过
都 见过 了
见过 了 贾
了 贾 母等
贾 母等 因
母等 因 每日
因 每日 辛苦
每日 辛苦 都
辛苦 都 要
都 要 早些
要 早些 歇息
早些 歇息 一宿
歇息 一宿 无话
一宿 无话 次日
无话 次日 五鼓
次日 五鼓 又
五鼓 又 往
又 往 朝
往 朝 中
朝 中 去
中 去 离送
去 离送 灵日
离送 灵日 不远
灵日 不远 鸳鸯
不远 鸳鸯 琥珀
鸳鸯 琥珀 翡翠
琥珀 翡翠 玻璃
翡翠 玻璃 四人
玻璃 四人 都
四人 都 忙
都 忙 着
忙 着 打点
着 打点 贾母
打点 贾母 之物
贾母 之物 玉钏
之物 玉钏 彩
玉钏 彩 云
彩 云 彩霞
云 彩霞 皆
彩霞 皆 打点
皆 打点 王夫人
打点 王夫人 之物
王夫人 之物 当面
之物 当面 查点
当面 查点 与
查点 与 跟随
与 跟随 的
跟随 的 管事
的 管事 媳妇
管事 媳妇 们
媳妇 们 跟随
们 跟随 的
跟随 的 一共
的 一共 大小
一共 大小 六个
大小 六个 丫鬟
六个 丫鬟 十个
丫鬟 十个 老婆
十个 老婆 媳妇子
老婆 媳妇子 男人
媳妇子 男人 不算
男人 不算 连日
不算 连日 收拾
连日 收拾 驮轿
收拾 驮轿 器械
驮轿 器械 鸳鸯
器械 鸳鸯 和
鸳鸯 和 玉钏儿
和 玉钏儿 皆
玉钏儿 皆 不
皆 不 随去
不 随去 只
随去 只 看
只 看 屋子
看 屋子 一面
屋子 一面 先
一面 先 几日
先 几日 预备
几日 预备 帐幔
预备 帐幔 铺陈
帐幔 铺陈 之物
铺陈 之物 先有
之物 先有 四五个
先有 四五个 媳妇
四五个 媳妇 并
媳妇 并 几个
并 几个 男子
几个 男子 领
男子 领 出来
领 出来 坐
出来 坐 了
坐 了 几辆车
了 几辆车 绕过去
几辆车 绕过去 先至
绕过去 先至 下处
先至 下处 铺陈
下处 铺陈 安插
铺陈 安插 等候
安插 等候 临日
等候 临日 贾母
临日 贾母 带
贾母 带 着
带 着 贾蓉
着 贾蓉 媳妇
贾蓉 媳妇 坐一乘
媳妇 坐一乘 驮轿
坐一乘 驮轿 王夫人
驮轿 王夫人 在
王夫人 在 后
在 后 亦
后 亦 坐
亦 坐 一乘
坐 一乘 驮轿
一乘 驮轿 贾珍
驮轿 贾珍 骑马
贾珍 骑马 率领
骑马 率领 众
率领 众 家丁
众 家丁 围护
家丁 围护 又有
围护 又有 几辆
又有 几辆 大车
几辆 大车 与
大车 与 婆子
与 婆子 丫鬟
婆子 丫鬟 等
丫鬟 等 坐
等 坐 并放些
坐 并放些 随换
并放些 随换 的
随换 的 衣包
的 衣包 等件
衣包 等件 是
等件 是 日
是 日 薛姨妈
日 薛姨妈 尤氏
薛姨妈 尤氏 率领
尤氏 率领 诸人直
率领 诸人直 送至
诸人直 送至 大门
送至 大门 外方
大门 外方 回
外方 回 贾琏
回 贾琏 恐
贾琏 恐 路上
恐 路上 不便
路上 不便 一面
不便 一面 打发
一面 打发 他
打发 他 父母
他 父母 起身
父母 起身 赶上
起身 赶上 了
赶上 了 贾母王
了 贾母王 夫人
贾母王 夫人 驮轿
夫人 驮轿 自己
驮轿 自己 也
自己 也 随后
也 随后 带领
随后 带领 家丁
带领 家丁 押后
家丁 押后 跟
押后 跟 来
跟 来 荣府内
来 荣府内 赖大
荣府内 赖大 添派
赖大 添派 人丁
添派 人丁 上夜
人丁 上夜 将
上夜 将 两处
将 两处 厅院
两处 厅院 都
厅院 都 关
都 关 了
关 了 一应
了 一应 出入
一应 出入 人
出入 人 等
人 等 皆
等 皆 走
皆 走 西边
走 西边 小角
西边 小角 门
小角 门 日落
门 日落 时
日落 时 便命
时 便命 关
便命 关 了
关 了 仪门
了 仪门 不放人
仪门 不放人 出入
不放人 出入 园中
出入 园中 前后
园中 前后 东西
前后 东西 角门
东西 角门 亦
角门 亦 皆
亦 皆 关锁
皆 关锁 只留
关锁 只留 王夫人
只留 王夫人 大房
王夫人 大房 之后
大房 之后 常系
之后 常系 他
常系 他 姐妹
他 姐妹 出入
姐妹 出入 之
出入 之 门
之 门 东边
门 东边 通
东边 通 薛姨妈
通 薛姨妈 的
薛姨妈 的 角门
的 角门 这
角门 这 两门
这 两门 因在
两门 因在 里院
因在 里院 不必
里院 不必 关锁
不必 关锁 里面
关锁 里面 鸳鸯
里面 鸳鸯 和
鸳鸯 和 玉钏儿
和 玉钏儿 也
玉钏儿 也 将
也 将 上房
将 上房 关
上房 关 了
关 了 自领
了 自领 丫鬟
自领 丫鬟 婆子
丫鬟 婆子 下房
婆子 下房 去
下房 去 歇
去 歇 每日
歇 每日 林之孝家的
每日 林之孝家的 带领
林之孝家的 带领 十
带领 十 来个
十 来个 老婆子
来个 老婆子 上夜
老婆子 上夜 穿堂
上夜 穿堂 内
穿堂 内 又
内 又 添
又 添 了
添 了 许多
了 许多 小厮
许多 小厮 打更
小厮 打更 已
打更 已 安插
已 安插 得
安插 得 十分
得 十分 妥当
十分 妥当 一日
妥当 一日 清晓
一日 清晓 宝钗
清晓 宝钗 春困
宝钗 春困 已醒
春困 已醒 搴
已醒 搴 帷
搴 帷 下榻
帷 下榻 微觉
下榻 微觉 轻寒
微觉 轻寒 及启户视
轻寒 及启户视 之
及启户视 之 见
之 见 院中
见 院中 土润
院中 土润 苔
土润 苔 青
苔 青 原来
青 原来 五更
原来 五更 时落
五更 时落 了
时落 了 几点
了 几点 微雨
几点 微雨 于是
微雨 于是 唤起
于是 唤起 湘云
唤起 湘云 等
湘云 等 人来
等 人来 一面
人来 一面 梳洗
一面 梳洗 湘云
梳洗 湘云 因说
湘云 因说 两腮
因说 两腮 作
两腮 作 痒
作 痒 恐
痒 恐 又
恐 又 犯
又 犯 了
犯 了 桃花
了 桃花 癣
桃花 癣 因问
癣 因问 宝钗
因问 宝钗 要些
宝钗 要些 蔷薇
要些 蔷薇 硝擦
蔷薇 硝擦 宝钗
硝擦 宝钗 道
宝钗 道 前日
道 前日 剩
前日 剩 的
剩 的 都
的 都 给
