第 66 章
66 章 情
章 情 小妹
情 小妹 耻情
小妹 耻情 归
耻情 归 地府
归 地府 冷二郎
地府 冷二郎 一冷入
冷二郎 一冷入 空门
一冷入 空门 话
空门 话 说
话 说 兴儿
说 兴儿 说怕
兴儿 说怕 吹倒
说怕 吹倒 了
吹倒 了 林姑娘
了 林姑娘 吹化
林姑娘 吹化 了
吹化 了 薛
了 薛 姑娘
薛 姑娘 大家
姑娘 大家 都
大家 都 笑
都 笑 了
笑 了 那
了 那 鲍二家的
那 鲍二家的 打
鲍二家的 打 他
打 他 一
他 一 下子
一 下子 笑道
下子 笑道 原
笑道 原 有些
原 有些 真
有些 真 到了
真 到了 你
到了 你 嘴里
你 嘴里 越发
嘴里 越发 没
越发 没 了
没 了 捆儿
了 捆儿 了
捆儿 了 你
了 你 倒
你 倒 不
倒 不 像
不 像 跟
像 跟 二爷
跟 二爷 的
二爷 的 人
的 人 这些
人 这些 话
这些 话 倒像
话 倒像 是
倒像 是 宝玉
是 宝玉 的
宝玉 的 人
的 人 尤二姐
人 尤二姐 才
尤二姐 才 要
才 要 又问
要 又问 忽见
又问 忽见 尤三姐
忽见 尤三姐 笑
尤三姐 笑 问道
笑 问道 可是
问道 可是 你们
可是 你们 家
你们 家 那宝玉
家 那宝玉 除了
那宝玉 除了 上学
除了 上学 他
上学 他 做些
他 做些 什么
做些 什么 兴儿
什么 兴儿 笑道
兴儿 笑道 三
笑道 三 姨儿
三 姨儿 别问
姨儿 别问 他
别问 他 说
他 说 起来
说 起来 三
起来 三 姨儿
三 姨儿 也
姨儿 也 未必
也 未必 信
未必 信 他长
信 他长 了
他长 了 这么
了 这么 大
这么 大 独他
大 独他 没有
独他 没有 上
没有 上 过
上 过 正经
过 正经 学
正经 学 我们
学 我们 家
我们 家 从
家 从 祖宗
从 祖宗 直到
祖宗 直到 二爷
直到 二爷 谁
二爷 谁 不是
谁 不是 学
不是 学 里
学 里 的
里 的 师
的 师 老爷
师 老爷 严严
老爷 严严 的
严严 的 管
的 管 着
管 着 念书
着 念书 偏
念书 偏 他
偏 他 不
他 不 爱
不 爱 念书
爱 念书 是
念书 是 老太太
是 老太太 的
老太太 的 宝贝
的 宝贝 老爷
宝贝 老爷 先
老爷 先 还
先 还 管
还 管 如今
管 如今 也
如今 也 不敢
也 不敢 管
不敢 管 了
管 了 成天
了 成天 家
成天 家 疯疯癫癫
家 疯疯癫癫 的
疯疯癫癫 的 说话
的 说话 人
说话 人 也
人 也 不
也 不 懂
不 懂 干的事
懂 干的事 人
干的事 人 也
人 也 不知
也 不知 外头
不知 外头 人人
外头 人人 看着
人人 看着 好
看着 好 清俊
好 清俊 模样儿
清俊 模样儿 心里
模样儿 心里 自然
心里 自然 是
自然 是 聪明
是 聪明 的
聪明 的 谁知
的 谁知 里头
谁知 里头 更
里头 更 糊涂
更 糊涂 见
糊涂 见 了
见 了 人
了 人 一句
人 一句 话
一句 话 也
话 也 没有
也 没有 所
没有 所 有的
所 有的 好处
有的 好处 虽
好处 虽 没上
虽 没上 过学
没上 过学 倒
