第 65 章
65 章 贾二舍
章 贾二舍 偷
贾二舍 偷 娶
偷 娶 尤二姨
娶 尤二姨 尤三姐
尤二姨 尤三姐 思嫁
尤三姐 思嫁 柳
思嫁 柳 二郎
柳 二郎 话
二郎 话 说
话 说 贾琏
说 贾琏 贾珍
贾琏 贾珍 贾蓉
贾珍 贾蓉 等
贾蓉 等 三人
等 三人 商议
三人 商议 事事
商议 事事 妥贴
事事 妥贴 至
妥贴 至 初二
至 初二 日
初二 日 先
日 先 将
先 将 尤老娘
将 尤老娘 和
尤老娘 和 三姐
和 三姐 儿
三姐 儿 送入
儿 送入 新房
送入 新房 尤老娘
新房 尤老娘 看了
尤老娘 看了 一看
看了 一看 虽不似
一看 虽不似 贾蓉
虽不似 贾蓉 口内
贾蓉 口内 之言
口内 之言 倒
之言 倒 也
倒 也 十分
也 十分 齐备
十分 齐备 母女
齐备 母女 二人
母女 二人 已算称
二人 已算称 了
已算称 了 心愿
了 心愿 鲍二
心愿 鲍二 两口子
鲍二 两口子 见
两口子 见 了
见 了 如
了 如 一盆
如 一盆 火儿
一盆 火儿 赶着
火儿 赶着 尤老娘
赶着 尤老娘 一口一声
尤老娘 一口一声 叫
一口一声 叫 老娘
叫 老娘 又
老娘 又 或是
又 或是 老太太
或是 老太太 赶着
老太太 赶着 三
赶着 三 姐儿
三 姐儿 叫
姐儿 叫 三
叫 三 姨儿
三 姨儿 或是
姨儿 或是 姨娘
或是 姨娘 至
姨娘 至 次日
至 次日 五更天
次日 五更天 一
五更天 一 乘素
一 乘素 轿
乘素 轿 将
轿 将 二
将 二 姐儿
二 姐儿 抬来
姐儿 抬来 各色
抬来 各色 香烛
各色 香烛 纸马
香烛 纸马 并
纸马 并 铺盖
并 铺盖 以及
铺盖 以及 酒饭
以及 酒饭 早已
酒饭 早已 预备
早已 预备 得
预备 得 十分
得 十分 妥当
十分 妥当 一时
妥当 一时 贾琏
一时 贾琏 素服
贾琏 素服 坐
素服 坐 了
坐 了 小
了 小 轿
小 轿 来了
轿 来了 拜
来了 拜 过了
拜 过了 天地
过了 天地 焚
天地 焚 了
焚 了 纸马
了 纸马 那
纸马 那 尤老娘
那 尤老娘 见
尤老娘 见 了
见 了 二
了 二 姐儿
二 姐儿 身上
姐儿 身上 头上
身上 头上 焕然一新
头上 焕然一新 不
焕然一新 不 似
不 似 在家
似 在家 模样
在家 模样 十分
模样 十分 得意
十分 得意 搀入
得意 搀入 洞房
搀入 洞房 是夜
洞房 是夜 贾琏
是夜 贾琏 和
贾琏 和 他
和 他 颠鸾倒凤
他 颠鸾倒凤 百般
颠鸾倒凤 百般 恩爱
百般 恩爱 不消
恩爱 不消 细说
不消 细说 那
细说 那 贾琏越
那 贾琏越 看越
贾琏越 看越 爱
看越 爱 越
爱 越 瞧
越 瞧 越
瞧 越 喜
越 喜 不知
喜 不知 要
不知 要 怎么
要 怎么 奉承
怎么 奉承 这二
奉承 这二 姐儿
这二 姐儿 才
姐儿 才 过得去
才 过得去 乃命
过得去 乃命 鲍
乃命 鲍 二等
鲍 二等 人
二等 人 不许
人 不许 提三说
不许 提三说 二
提三说 二 直以
二 直以 奶奶
直以 奶奶 称
奶奶 称 之
称 之 自己
之 自己 也
自己 也 称
也 称 奶奶
称 奶奶 竟
奶奶 竟 将
竟 将 凤姐
将 凤姐 一笔
凤姐 一笔 勾倒
一笔 勾倒 有
勾倒 有 时
有 时 回家
时 回家 只说
回家 只说 在
只说 在 东府
在 东府 有事
东府 有事 凤姐
有事 凤姐 因知
凤姐 因知 他
因知 他 和
他 和 贾珍
和 贾珍 好
贾珍 好 有事
好 有事 相商
有事 相商 也
相商 也 不
也 不 疑心
不 疑心 家
疑心 家 下人
家 下人 虽
下人 虽 多
虽 多 都
多 都 也
都 也 不管
也 不管 这些
不管 这些 事
这些 事 便
事 便 有
便 有 那
有 那 游手好闲
那 游手好闲 专
游手好闲 专 打听
专 打听 小事
打听 小事 的
小事 的 人
的 人 也
人 也 都
也 都 去
都 去 奉承
去 奉承 贾琏
奉承 贾琏 乘机
贾琏 乘机 讨些
乘机 讨些 便宜
讨些 便宜 谁肯
便宜 谁肯 去
谁肯 去 露风
去 露风 于是
露风 于是 贾琏
于是 贾琏 深感
贾琏 深感 贾珍
深感 贾珍 不尽
贾珍 不尽 贾琏
不尽 贾琏 一月
贾琏 一月 出
一月 出 十五两
出 十五两 银子
十五两 银子 做
银子 做 天天
做 天天 的
天天 的 供给
的 供给 若不
供给 若不 来时
若不 来时 他
来时 他 母女
他 母女 三人
母女 三人 一处
三人 一处 吃饭
一处 吃饭 若
吃饭 若 贾琏
若 贾琏 来
贾琏 来 他
来 他 夫妻
他 夫妻 二人
夫妻 二人 一处
二人 一处 吃
一处 吃 他
吃 他 母女
他 母女 就
母女 就 回房
就 回房 自吃
回房 自吃 贾琏
自吃 贾琏 又
贾琏 又 将
又 将 自己
将 自己 积年
自己 积年 所有
积年 所有 的
所有 的 体己
的 体己 一并
体己 一并 搬来
一并 搬来 给
搬来 给 二
给 二 姐儿
二 姐儿 收着
姐儿 收着 又
收着 又 将
又 将 凤姐儿
将 凤姐儿 素日
凤姐儿 素日 之为
素日 之为 人
之为 人 行事
人 行事 枕边
行事 枕边 衾
枕边 衾 里
衾 里 尽情
里 尽情 告诉
尽情 告诉 了
告诉 了 他
了 他 只
他 只 等
只 等 一死
等 一死 便接
一死 便接 他
便接 他 进来
他 进来 二
进来 二 姐儿
二 姐儿 听了
姐儿 听了 自然
听了 自然 是
自然 是 愿意
是 愿意 的
愿意 的 了
的 了 当下
了 当下 十来个
当下 十来个 人
十来个 人 倒
人 倒 也
倒 也 过
也 过 起
过 起 日子
起 日子 来
日子 来 十分
来 十分 丰足
十分 丰足 眼见
丰足 眼见 已
眼见 已 是
已 是 两
是 两 月
两 月 光景
月 光景 这
光景 这 日贾珍
这 日贾珍 在
日贾珍 在 铁槛
在 铁槛 寺
铁槛 寺 做
寺 做 完
做 完 佛事
完 佛事 晚间
佛事 晚间 回家
晚间 回家 时
回家 时 与
时 与 他
与 他 姊妹
他 姊妹 久别
姊妹 久别 竟要
久别 竟要 去
竟要 去 探望
去 探望 探望
探望 探望 先命
探望 先命 小厮
先命 小厮 去
小厮 去 打听
去 打听 贾琏
打听 贾琏 在
贾琏 在 与
在 与 不在
与 不在 小厮
不在 小厮 回来
小厮 回来 说
回来 说 不在
说 不在 那里
不在 那里 贾珍
那里 贾珍 喜欢
贾珍 喜欢 将
喜欢 将 家人
将 家人 一概
家人 一概 先遣
一概 先遣 回去
先遣 回去 只留
回去 只留 两个
只留 两个 心腹
两个 心腹 小童
心腹 小童 牵马
小童 牵马 一时
牵马 一时 到了
一时 到了 新房子
到了 新房子 里
新房子 里 已
里 已 是
已 是 掌灯
是 掌灯 时候
掌灯 时候 悄悄
时候 悄悄 进去
悄悄 进去 两个
进去 两个 小厮
两个 小厮 将
小厮 将 马
将 马 拴
马 拴 在
拴 在 园内
在 园内 自往
园内 自往 下房
自往 下房 去
下房 去 听候
去 听候 贾珍
听候 贾珍 进来
贾珍 进来 屋里
进来 屋里 才
屋里 才 点灯
才 点灯 先
点灯 先 看过
先 看过 尤氏
看过 尤氏 母女
尤氏 母女 然后
母女 然后 二
然后 二 姐儿
二 姐儿 出来
姐儿 出来 相见
出来 相见 贾珍见
相见 贾珍见 了
贾珍见 了 二
了 二 姐儿
二 姐儿 满脸
姐儿 满脸 的
满脸 的 笑容
的 笑容 一面
笑容 一面 吃
一面 吃 茶
吃 茶 一面
茶 一面 笑
一面 笑 说
笑 说 我
说 我 做
我 做 的
做 的 保山
的 保山 如何
保山 如何 要
如何 要 错过
要 错过 了
错过 了 打着
了 打着 灯
打着 灯 笼
灯 笼 还
笼 还 没处
还 没处 寻
没处 寻 过日
寻 过日 你
过日 你 姐姐
你 姐姐 还备
姐姐 还备 礼来
还备 礼来 瞧
礼来 瞧 你们
瞧 你们 呢
你们 呢 说话
呢 说话 之间
说话 之间 二
之间 二 姐儿
二 姐儿 已
姐儿 已 命人
已 命人 预备
命人 预备 下酒
预备 下酒 馔
下酒 馔 关起门来
馔 关起门来 都是
关起门来 都是 一家人
都是 一家人 原无
一家人 原无 避讳
原无 避讳 那
避讳 那 鲍
那 鲍 二来
鲍 二来 请安
二来 请安 贾珍便
请安 贾珍便 说
贾珍便 说 你
说 你 还是
你 还是 个
还是 个 有
个 有 良心
有 良心 的
良心 的 所以
的 所以 二爷
所以 二爷 叫
二爷 叫 你
叫 你 来
你 来 伏侍
来 伏侍 日后
伏侍 日后 自有
日后 自有 大用
自有 大用 你
大用 你 之处
你 之处 不可
之处 不可 在
不可 在 外头
在 外头 吃酒
外头 吃酒 生事
吃酒 生事 我
生事 我 自
我 自 然赏
自 然赏 你
然赏 你 倘或
你 倘或 这里
倘或 这里 短
这里 短 了
短 了 什么
了 什么 你
什么 你 二爷
你 二爷 事多
二爷 事多 那里
事多 那里 人杂
那里 人杂 你
人杂 你 只管
你 只管 去
只管 去 回
去 回 我
回 我 我们
我 我们 弟兄
我们 弟兄 不比
弟兄 不比 别人
不比 别人 鲍二
别人 鲍二 答应
鲍二 答应 道
答应 道 小
道 小 的
小 的 知道
的 知道 若
知道 若 小
若 小 的
小 的 不
的 不 尽心
不 尽心 除非
尽心 除非 不要
除非 不要 这
不要 这 脑袋
这 脑袋 了
脑袋 了 贾
了 贾 珍笑
贾 珍笑 着
珍笑 着 点头
着 点头 道
点头 道 要
道 要 你
要 你 知道
你 知道 就好
知道 就好 当下
就好 当下 四人
当下 四人 一处
四人 一处 吃酒
一处 吃酒 二
吃酒 二 姐儿
二 姐儿 此时
姐儿 此时 恐怕
此时 恐怕 贾琏
恐怕 贾琏 一时
贾琏 一时 走来
一时 走来 彼此
走来 彼此 不雅
彼此 不雅 吃
不雅 吃 了
吃 了 两钟
了 两钟 酒
两钟 酒 便
酒 便 推故
便 推故 往
推故 往 那边
往 那边 去了
那边 去了 贾珍
去了 贾珍 此时
贾珍 此时 也
此时 也 无可奈何
也 无可奈何 只得
无可奈何 只得 看着
只得 看着 二
看着 二 姐儿
二 姐儿 自去
姐儿 自去 剩下
自去 剩下 尤老娘
剩下 尤老娘 和
尤老娘 和 三姐
和 三姐 儿
三姐 儿 相陪
儿 相陪 那
相陪 那 三
那 三 姐儿
三 姐儿 虽
姐儿 虽 向来
虽 向来 也
向来 也 和
也 和 贾珍
和 贾珍 偶有
贾珍 偶有 戏言
偶有 戏言 但
戏言 但 不似
但 不似 他
不似 他 姐姐
他 姐姐 那样
姐姐 那样 随和
那样 随和 儿
随和 儿 所以
儿 所以 贾珍
所以 贾珍 虽
贾珍 虽 有
虽 有 垂涎
有 垂涎 之意
垂涎 之意 却
之意 却 也
却 也 不肯
也 不肯 造次
不肯 造次 了
造次 了 致
了 致 讨没趣
致 讨没趣 况且
讨没趣 况且 尤老娘
况且 尤老娘 在
尤老娘 在 傍边
在 傍边 陪
傍边 陪 着
陪 着 贾珍
着 贾珍 也
贾珍 也 不好
也 不好 意思
不好 意思 太露
意思 太露 轻薄
太露 轻薄 却说
轻薄 却说 跟
却说 跟 的
跟 的 两个
的 两个 小厮
两个 小厮 都
小厮 都 在
都 在 厨下
在 厨下 和
厨下 和 鲍二
和 鲍二 饮酒
鲍二 饮酒 那
饮酒 那 鲍二
那 鲍二 的
鲍二 的 女人
的 女人 多姑娘
女人 多姑娘 儿上
多姑娘 儿上 灶
儿上 灶 忽见
灶 忽见 两个
忽见 两个 丫头
两个 丫头 也
丫头 也 走
也 走 了
走 了 来
了 来 嘲笑
来 嘲笑 要
嘲笑 要 吃酒
要 吃酒 鲍二因
吃酒 鲍二因 说
鲍二因 说 姐儿们
说 姐儿们 不在
姐儿们 不在 上头
不在 上头 伏侍
上头 伏侍 也
伏侍 也 偷
也 偷 着
偷 着 来了
着 来了 一时
来了 一时 叫
一时 叫 起来
叫 起来 没人
起来 没人 又是
没人 又是 事
又是 事 他
事 他 女人
他 女人 骂道
女人 骂道 糊涂
骂道 糊涂 浑
糊涂 浑 呛
浑 呛 了
呛 了 的
了 的 忘
的 忘 八
忘 八 你
八 你 撞
你 撞 丧
撞 丧 那
丧 那 黄汤
那 黄汤 罢
黄汤 罢 撞
罢 撞 丧醉
撞 丧醉 了
丧醉 了 夹
了 夹 着
夹 着 你
着 你 的
你 的 脑袋
的 脑袋 挺
脑袋 挺 你
挺 你 的
你 的 尸
的 尸 去
尸 去 叫
去 叫 不
叫 不 叫
不 叫 与
叫 与 你
与 你 什么
你 什么 相干
什么 相干 一
相干 一 应有
一 应有 我
应有 我 承当
我 承当 呢
承当 呢 风
呢 风 啊
风 啊 雨
啊 雨 的
雨 的 横竖
的 横竖 淋
横竖 淋 不到
淋 不到 你
不到 你 头上
你 头上 来
头上 来 这
来 这 鲍二
这 鲍二 原因
鲍二 原因 妻子
原因 妻子 之力
妻子 之力 在
之力 在 贾琏
在 贾琏 前
贾琏 前 十分
前 十分 有
十分 有 脸
有 脸 近日
脸 近日 他
近日 他 女人
他 女人 越发
女人 越发 在
越发 在 二
在 二 姐儿
二 姐儿 跟前
姐儿 跟前 殷勤
跟前 殷勤 服侍
殷勤 服侍 他
服侍 他 便
他 便 自己
便 自己 除
自己 除 赚钱
除 赚钱 吃酒
赚钱 吃酒 之外
吃酒 之外 一概
之外 一概 不管
一概 不管 一听
不管 一听 他
一听 他 女人
他 女人 吩咐
女人 吩咐 百依百随
吩咐 百依百随 当下
百依百随 当下 又
当下 又 吃
又 吃 了
吃 了 些
了 些 便
些 便 去
便 去 睡觉
去 睡觉 这里
睡觉 这里 他
这里 他 女人
他 女人 随着
女人 随着 这些
随着 这些 丫鬟
