第 96 章
96 章 瞒
章 瞒 消息
瞒 消息 凤姐
消息 凤姐 设
凤姐 设 奇谋
设 奇谋 泄
奇谋 泄 机关
泄 机关 颦儿
机关 颦儿 迷
颦儿 迷 本性
迷 本性 话
本性 话 说
话 说 贾琏拿
说 贾琏拿 了
贾琏拿 了 那块
了 那块 假玉
那块 假玉 忿忿
假玉 忿忿 走出
忿忿 走出 到了
走出 到了 书房
到了 书房 那个
书房 那个 人
那个 人 看见
人 看见 贾琏
看见 贾琏 的
贾琏 的 气色
的 气色 不好
气色 不好 心
不好 心 里
心 里 先发
里 先发 了
先发 了 虚
了 虚 了
虚 了 连忙
了 连忙 站
连忙 站 起来
站 起来 迎着
起来 迎着 刚
迎着 刚 要
刚 要 说话
要 说话 只见
说话 只见 贾琏
只见 贾琏 冷笑
贾琏 冷笑 道
冷笑 道 好
道 好 大胆
好 大胆 我
大胆 我 把
我 把 你
把 你 这个
你 这个 混账
这个 混账 东西
混账 东西 这里
东西 这里 是
这里 是 什么
是 什么 地方
什么 地方 儿
地方 儿 你
儿 你 敢
你 敢 来
敢 来 掉
来 掉 鬼
掉 鬼 回头
鬼 回头 便
回头 便 问
便 问 小厮
问 小厮 们
小厮 们 呢
们 呢 外
呢 外 头轰雷
外 头轰雷 一般
头轰雷 一般 几个
一般 几个 小厮
几个 小厮 齐声
小厮 齐声 答应
齐声 答应 贾琏
答应 贾琏 道
贾琏 道 取
道 取 绳子
取 绳子 去
绳子 去 捆起
去 捆起 他来
捆起 他来 等
他来 等 老爷
等 老爷 回来
老爷 回来 回明
回来 回明 了
回明 了 把
了 把 他
把 他 送到
他 送到 衙门
送到 衙门 里
衙门 里 去
里 去 众
去 众 小厮
众 小厮 又
小厮 又 一齐
又 一齐 答应
一齐 答应 预备
答应 预备 着
预备 着 呢
着 呢 嘴里
呢 嘴里 虽
嘴里 虽 如此
虽 如此 却
如此 却 不
却 不 动身
不 动身 那人先
动身 那人先 自唬
那人先 自唬 的
自唬 的 手足无措
的 手足无措 见
手足无措 见 这般
见 这般 势派
这般 势派 知道
势派 知道 难逃
知道 难逃 公道
难逃 公道 只得
公道 只得 跪下
只得 跪下 给
跪下 给 贾琏
给 贾琏 碰头
贾琏 碰头 口口声声
碰头 口口声声 只
口口声声 只 叫
只 叫 老太爷
叫 老太爷 别生气
老太爷 别生气 是
别生气 是 我
是 我 一时
我 一时 穷极
