第 31 章
31 章 撕
章 撕 扇子
撕 扇子 作
扇子 作 千金一笑
作 千金一笑 因
千金一笑 因 麒麟
因 麒麟 伏白首
麒麟 伏白首 双星
伏白首 双星 话
双星 话 说
话 说 袭人
说 袭人 见
袭人 见 了
见 了 自己
了 自己 吐
自己 吐 的
吐 的 鲜血
的 鲜血 在
鲜血 在 地
在 地 也
地 也 就
也 就 冷
就 冷 了
冷 了 半截
了 半截 想着
半截 想着 往
想着 往 日常
往 日常 听人
日常 听人 说
听人 说 少年
说 少年 吐血
少年 吐血 年
吐血 年 月
年 月 不保
月 不保 纵然
不保 纵然 命长
纵然 命长 终是
命长 终是 废人
终是 废人 了
废人 了 想起
了 想起 此言
想起 此言 不觉
此言 不觉 将
不觉 将 素日
将 素日 想着
素日 想着 后来
想着 后来 争荣
后来 争荣 夸
争荣 夸 耀
夸 耀 之心
耀 之心 尽皆灰
之心 尽皆灰 了
尽皆灰 了 眼中
了 眼中 不觉
眼中 不觉 的
不觉 的 滴下
的 滴下 泪来
滴下 泪来 宝玉
泪来 宝玉 见
宝玉 见 他
见 他 哭
他 哭 了
哭 了 也
了 也 不觉
也 不觉 心酸
不觉 心酸 起来
心酸 起来 因
起来 因 问道
因 问道 你
问道 你 心里
你 心里 觉着
心里 觉着 怎么样
觉着 怎么样 袭人
怎么样 袭人 勉强
袭人 勉强 笑道
勉强 笑道 好好儿
笑道 好好儿 的
好好儿 的 觉
的 觉 怎么样
觉 怎么样 呢
怎么样 呢 宝玉
呢 宝玉 的
宝玉 的 意思
的 意思 即刻
意思 即刻 便
即刻 便 要
便 要 叫人
要 叫人 烫
叫人 烫 黄酒
烫 黄酒 要
黄酒 要 山羊
要 山羊 血
山羊 血 峒
血 峒 丸
峒 丸 来
丸 来 袭人
来 袭人 拉着
袭人 拉着 他的
拉着 他的 手
他的 手 笑道
手 笑道 你
笑道 你 这
你 这 一闹
这 一闹 不
一闹 不 大紧
不 大紧 闹起
大紧 闹起 多少
闹起 多少 人来
多少 人来 倒
人来 倒 抱怨
倒 抱怨 我
抱怨 我 轻狂
我 轻狂 分明
轻狂 分明 人不知
分明 人不知 道
人不知 道 倒
道 倒 闹
倒 闹 的
闹 的 人
的 人 知道
人 知道 了
知道 了 你
了 你 也
你 也 不好
也 不好 我
不好 我 也
我 也 不好
也 不好 正经
不好 正经 明儿
正经 明儿 你
明儿 你 打发
你 打发 小子
打发 小子 问问
小子 问问 王大夫
问问 王大夫 去
王大夫 去 弄
去 弄 点子
弄 点子 药
点子 药 吃
药 吃 吃
吃 吃 就好
吃 就好 了
就好 了 人不知鬼
了 人不知鬼 不
人不知鬼 不 觉
不 觉 的
觉 的 不好
的 不好 吗
不好 吗 宝玉
吗 宝玉 听了
宝玉 听了 有理
听了 有理 也
有理 也 只得
也 只得 罢了
只得 罢了 向
罢了 向 案上
向 案上 斟
案上 斟 了
斟 了 茶
了 茶 来
茶 来 给
来 给 袭人
给 袭人 漱口
袭人 漱口 袭人
漱口 袭人 知
袭人 知 宝玉
知 宝玉 心内
宝玉 心内 也
心内 也 不安
也 不安 待要
不安 待要 不
待要 不 叫
不 叫 他
叫 他 伏侍
他 伏侍 他
伏侍 他 又
他 又 必
又 必 不依
必 不依 况且
不依 况且 定
况且 定 要
定 要 惊动
要 惊动 别人
惊动 别人 不如
别人 不如 且
不如 且 由
且 由 他
由 他 去罢
他 去罢 因此
去罢 因此 倚
因此 倚 在
倚 在 榻
在 榻 上
榻 上 由
上 由 宝玉
由 宝玉 去
宝玉 去 伏侍
去 伏侍 那
伏侍 那 天刚亮
那 天刚亮 宝玉
天刚亮 宝玉 也
宝玉 也 顾不得
也 顾不得 梳洗
顾不得 梳洗 忙
梳洗 忙 穿衣
忙 穿衣 出来
穿衣 出来 将
出来 将 王济仁
将 王济仁 叫
王济仁 叫 来
叫 来 亲自
来 亲自 确问
亲自 确问 王济仁
确问 王济仁 问其
王济仁 问其 原故
问其 原故 不过
原故 不过 是
不过 是 伤损
是 伤损 便说
伤损 便说 了
便说 了 个
了 个 丸药
个 丸药 的
丸药 的 名字
的 名字 怎么
名字 怎么 吃
怎么 吃 怎么
吃 怎么 敷
怎么 敷 宝玉
敷 宝玉 记
宝玉 记 了
记 了 回园
了 回园 来
回园 来 依方
来 依方 调治
依方 调治 不在话下
调治 不在话下 这日
不在话下 这日 正是
这日 正是 端阳
正是 端阳 佳节
端阳 佳节 蒲艾
佳节 蒲艾 簪门
蒲艾 簪门 虎符
簪门 虎符 系臂
虎符 系臂 午间
系臂 午间 王夫人
午间 王夫人 治
王夫人 治 了
治 了 酒席
了 酒席 请
酒席 请 薛家
请 薛家 母女
薛家 母女 等
母女 等 过节
等 过节 宝玉
过节 宝玉 见
宝玉 见 宝钗
见 宝钗 淡淡的
宝钗 淡淡的 也
淡淡的 也 不
也 不 和
不 和 他
和 他 说话
他 说话 自知
说话 自知 是
自知 是 昨日
是 昨日 的
昨日 的 原故
的 原故 王夫人
原故 王夫人 见
王夫人 见 宝玉
见 宝玉 没
宝玉 没 精打彩
没 精打彩 也
精打彩 也 只当
也 只当 是
只当 是 昨日
是 昨日 金钏儿
昨日 金钏儿 之事
金钏儿 之事 他
之事 他 没
他 没 好意思
没 好意思 的
好意思 的 越发
的 越发 不理
越发 不理 他
不理 他 黛
他 黛 玉见宝玉
黛 玉见宝玉 懒懒
玉见宝玉 懒懒 的
懒懒 的 只当
的 只当 是
只当 是 他
是 他 因为
他 因为 得罪
因为 得罪 了
得罪 了 宝钗
了 宝钗 的
宝钗 的 原故
的 原故 心中
原故 心中 不
心中 不 受用
不 受用 形容
受用 形容 也
形容 也 就
也 就 懒懒
就 懒懒 的
懒懒 的 凤姐
的 凤姐 昨日
凤姐 昨日 晚
昨日 晚 上
晚 上 王夫人
上 王夫人 就
王夫人 就 告诉
就 告诉 了
告诉 了 他
了 他 宝玉
他 宝玉 金钏儿
宝玉 金钏儿 的
金钏儿 的 事
的 事 知道
事 知道 王夫人
知道 王夫人 不
王夫人 不 喜欢
不 喜欢 自己
喜欢 自己 如何
自己 如何 敢
如何 敢 说
敢 说 笑
说 笑 也
笑 也 就
也 就 随着
就 随着 王夫人
随着 王夫人 的
王夫人 的 气色
的 气色 行事
气色 行事 更觉
行事 更觉 淡淡的
更觉 淡淡的 迎春
淡淡的 迎春 姐妹
迎春 姐妹 见
姐妹 见 众人
见 众人 没意思
众人 没意思 也
没意思 也 都
也 都 没意思
都 没意思 了
没意思 了 因
了 因 此
因 此 大家
此 大家 坐
大家 坐 了
坐 了 一
了 一 坐
一 坐 就
坐 就 散
就 散 了
散 了 那黛玉
了 那黛玉 天性
那黛玉 天性 喜散
天性 喜散 不
喜散 不 喜聚
不 喜聚 他
喜聚 他 想
他 想 的
想 的 也
的 也 有个
也 有个 道理
有个 道理 他说
道理 他说 人有
他说 人有 聚
人有 聚 就
聚 就 有
就 有 散
有 散 聚时
散 聚时 喜
聚时 喜 欢
喜 欢 到
欢 到 散时
到 散时 岂
散时 岂 不
岂 不 清冷
不 清冷 既
清冷 既 清冷
既 清冷 则
清冷 则 生
则 生 感伤
生 感伤 所以
感伤 所以 不如
所以 不如 倒是
不如 倒是 不聚
倒是 不聚 的
不聚 的 好
的 好 比如
好 比如 那
比如 那 花儿
那 花儿 开
花儿 开 的
开 的 时候
的 时候 儿
时候 儿 叫人
儿 叫人 爱
叫人 爱 到
爱 到 谢
到 谢 的
谢 的 时候
的 时候 儿
时候 儿 便
儿 便 增
便 增 了
增 了 许多
了 许多 惆怅
许多 惆怅 所以
惆怅 所以 倒是
所以 倒是 不开
倒是 不开 的
