第 29 章
29 章 享福
章 享福 人福深
享福 人福深 还
人福深 还 祷福
还 祷福 多情
祷福 多情 女情
多情 女情 重愈
女情 重愈 斟情
重愈 斟情 话
斟情 话 说
话 说 宝玉
说 宝玉 正
宝玉 正 自发
正 自发 怔
自发 怔 不想
怔 不想 黛玉
不想 黛玉 将
黛玉 将 手帕
将 手帕 子
手帕 子 扔
子 扔 了
扔 了 来
了 来 正碰
来 正碰 在
正碰 在 眼睛
在 眼睛 上
眼睛 上 倒
上 倒 唬
倒 唬 了
唬 了 一
了 一 跳
一 跳 问
跳 问 这是
问 这是 谁
这是 谁 黛玉
谁 黛玉 摇着头
黛玉 摇着头 儿
摇着头 儿 笑道
儿 笑道 不敢
笑道 不敢 是
不敢 是 我
是 我 失了
我 失了 手
失了 手 因为
手 因为 宝姐姐
因为 宝姐姐 要
宝姐姐 要 看
要 看 呆
看 呆 雁
呆 雁 我
雁 我 比
我 比 给
比 给 他
给 他 看
他 看 不想
看 不想 失了
不想 失了 手
失了 手 宝玉
手 宝玉 揉
宝玉 揉 着
揉 着 眼睛
着 眼睛 待
眼睛 待 要说
待 要说 什么
要说 什么 又
什么 又 不好
又 不好 说的
不好 说的 一时
说的 一时 凤姐儿
一时 凤姐儿 来了
凤姐儿 来了 因说
来了 因说 起初
因说 起初 一日
起初 一日 在
一日 在 清虚观
在 清虚观 打醮
清虚观 打醮 的
打醮 的 事来
的 事来 约
事来 约 着
约 着 宝钗
着 宝钗 宝玉
宝钗 宝玉 黛玉
宝玉 黛玉 等
黛玉 等 看戏
等 看戏 去
看戏 去 宝钗笑
去 宝钗笑 道
宝钗笑 道 罢
道 罢 罢
罢 罢 怪
罢 怪 热
怪 热 的
热 的 什么
的 什么 没
什么 没 看过
没 看过 的
看过 的 戏
的 戏 我
戏 我 不
我 不 去
不 去 凤姐
去 凤姐 道
凤姐 道 他们
道 他们 那里
他们 那里 凉快
那里 凉快 两边
凉快 两边 又有
两边 又有 楼
又有 楼 咱们
楼 咱们 要
咱们 要 去
要 去 我头
去 我头 几天
我头 几天 先
几天 先 打发
先 打发 人去
打发 人去 把
人去 把 那些
把 那些 道士
那些 道士 都
道士 都 赶
都 赶 出去
赶 出去 把
出去 把 楼上
把 楼上 打扫
楼上 打扫 了
打扫 了 挂起
了 挂起 帘子
挂起 帘子 来
帘子 来 一个
来 一个 闲人
一个 闲人 不许
闲人 不许 放进
不许 放进 庙
放进 庙 去
庙 去 才
去 才 是
才 是 好
是 好 呢
好 呢 我
呢 我 已经
我 已经 回
已经 回 了
回 了 太太
了 太太 了
太太 了 你们
了 你们 不去
你们 不去 我
不去 我 自家
我 自家 去
自家 去 这些
去 这些 日子
这些 日子 也
日子 也 闷
也 闷 的
闷 的 很
的 很 了
很 了 家里
了 家里 唱动戏
家里 唱动戏 我
唱动戏 我 又
我 又 不得
又 不得 舒
不得 舒 舒服
舒 舒服 服
舒服 服 的
服 的 看
的 看 贾母
看 贾母 听说
贾母 听说 就
听说 就 笑道
就 笑道 既
笑道 既 这么着
既 这么着 我
这么着 我 和
我 和 你
和 你 去
你 去 凤姐
去 凤姐 听说
凤姐 听说 笑道
听说 笑道 老祖宗
笑道 老祖宗 也
老祖宗 也 去
也 去 敢
去 敢 仔好
敢 仔好 可
仔好 可 就是
可 就是 我
就是 我 又
我 又 不得
又 不得 受用
不得 受用 了
受用 了 贾母
了 贾母 道
贾母 道 到
道 到 明儿
到 明儿 我
明儿 我 在
我 在 正面
在 正面 楼
正面 楼 上
楼 上 你
上 你 在
你 在 傍边
在 傍边 楼上
傍边 楼上 你
楼上 你 也
你 也 不用
也 不用 到
不用 到 我
到 我 这边
我 这边 来立
这边 来立 规矩
来立 规矩 可
规矩 可 好不好
可 好不好 凤姐
好不好 凤姐 笑道
凤姐 笑道 这
笑道 这 就
这 就 是
就 是 老祖宗
是 老祖宗 疼
老祖宗 疼 我
疼 我 了
我 了 贾母因
了 贾母因 向宝钗
贾母因 向宝钗 道
向宝钗 道 你
道 你 也
你 也 去
也 去 连
去 连 你
连 你 母亲
你 母亲 也
母亲 也 去
也 去 长天老日
去 长天老日 的
长天老日 的 在
的 在 家里
在 家里 也是
家里 也是 睡觉
也是 睡觉 宝钗
睡觉 宝钗 只得
宝钗 只得 答应
只得 答应 着
答应 着 贾母
着 贾母 又
贾母 又 打发
又 打发 人去
打发 人去 请了
人去 请了 薛姨妈
请了 薛姨妈 顺路
薛姨妈 顺路 告诉
顺路 告诉 王夫人
告诉 王夫人 要
王夫人 要 带了
要 带了 他们
带了 他们 姊妹
他们 姊妹 去
姊妹 去 王夫人
去 王夫人 因
王夫人 因 一则
因 一则 身上
一则 身上 不好
身上 不好 二则
不好 二则 预备
二则 预备 元春
预备 元春 有人
元春 有人 出来
有人 出来 早已
出来 早已 回
早已 回 了
回 了 不
了 不 去
不 去 的
去 的 听
的 听 贾母
听 贾母 如此
贾母 如此 说
如此 说 笑道
说 笑道 还是
笑道 还是 这么
还是 这么 高兴
这么 高兴 打发
高兴 打发 人去
打发 人去 到
人去 到 园里
到 园里 告诉
园里 告诉 有要
告诉 有要 逛去
有要 逛去 的
逛去 的 只管
的 只管 初一
只管 初一 跟
初一 跟 老太太
跟 老太太 逛去
老太太 逛去 这个
逛去 这个 话
这个 话 一
话 一 传开
一 传开 了
传开 了 别人
了 别人 还
别人 还 可
还 可 已
可 已 只是
已 只是 那些
只是 那些 丫头
那些 丫头 们
丫头 们 天天
们 天天 不得
天天 不得 出
不得 出 门槛儿
出 门槛儿 听了
门槛儿 听了 这话
听了 这话 谁
这话 谁 不要
谁 不要 去
不要 去 就是
去 就是 各人
就是 各人 的
各人 的 主子
的 主子 懒怠
主子 懒怠 去
懒怠 去 他
去 他 也
他 也 百般
也 百般 的
百般 的 撺掇
的 撺掇 了
撺掇 了 去
了 去 因此
去 因此 李纨
因此 李纨 等
李纨 等 都说
等 都说 去
都说 去 贾母
去 贾母 心中
贾母 心中 越发
心中 越发 喜欢
越发 喜欢 早已
喜欢 早已 吩咐
早已 吩咐 人去
吩咐 人去 打扫
人去 打扫 安置
打扫 安置 不必
安置 不必 细说
不必 细说 单表
细说 单表 到了
单表 到了 初一
到了 初一 这
初一 这 一日
这 一日 荣国府
一日 荣国府 门前
荣国府 门前 车辆
门前 车辆 纷纷
车辆 纷纷 人马
纷纷 人马 簇簇
人马 簇簇 那
簇簇 那 底下
那 底下 执事
底下 执事 人
执事 人 等
人 等 听
等 听 见
听 见 是
见 是 贵妃
是 贵妃 做好事
贵妃 做好事 贾
做好事 贾 母亲
贾 母亲 去
母亲 去 拈香
去 拈香 况是
拈香 况是 端阳
况是 端阳 佳节
端阳 佳节 因此
佳节 因此 凡
因此 凡 动用
凡 动用 的
动用 的 物件
的 物件 一色
物件 一色 都是
一色 都是 齐
都是 齐 全
齐 全 的
全 的 不同
的 不同 往日
不同 往日 少时
往日 少时 贾母
少时 贾母 等
贾母 等 出来
等 出来 贾母
出来 贾母 坐一乘
