第 40 章
40 章 史太君
章 史太君 两宴
史太君 两宴 大观园
两宴 大观园 金鸳鸯
大观园 金鸳鸯 三宣
金鸳鸯 三宣 牙牌
三宣 牙牌 令
牙牌 令 话
令 话 说
话 说 宝玉
说 宝玉 听了
宝玉 听了 忙
听了 忙 进来
忙 进来 看时
进来 看时 只见
看时 只见 琥珀
只见 琥珀 站
琥珀 站 在
站 在 屏风
在 屏风 跟前
屏风 跟前 说
跟前 说 快
说 快 去罢
快 去罢 立等
去罢 立等 你
立等 你 说话
你 说话 呢
说话 呢 宝玉
呢 宝玉 来至
宝玉 来至 上房
来至 上房 只见
上房 只见 贾母正
只见 贾母正 和
贾母正 和 王夫人
和 王夫人 众
王夫人 众 姐妹
众 姐妹 商议
姐妹 商议 给
商议 给 史湘云
给 史湘云 还席
史湘云 还席 宝玉
还席 宝玉 因
宝玉 因 说
因 说 我
说 我 有个
我 有个 主意
有个 主意 既
主意 既 没有
既 没有 外客
没有 外客 吃
外客 吃 的
吃 的 东西
的 东西 也
东西 也 别定
也 别定 了
别定 了 样数
了 样数 谁
样数 谁 素日
谁 素日 爱
素日 爱 吃
爱 吃 的
吃 的 拣
的 拣 样儿
拣 样儿 做
样儿 做 几样
做 几样 也
几样 也 不必
也 不必 按
不必 按 桌席
按 桌席 每人
桌席 每人 跟前
每人 跟前 摆
跟前 摆 一张
摆 一张 高几
一张 高几 各人
高几 各人 爱
各人 爱 吃
爱 吃 的
吃 的 东西
的 东西 一两样
东西 一两样 再
一两样 再 一个十
再 一个十 锦攒心
一个十 锦攒心 盒子
锦攒心 盒子 自斟
盒子 自斟 壶
自斟 壶 岂
壶 岂 不
岂 不 别致
不 别致 贾母
别致 贾母 听了
贾母 听了 说
听了 说 很是
说 很是 即
很是 即 命人
即 命人 传
命人 传 与
传 与 厨房
与 厨房 明日
厨房 明日 就
明日 就 拣
就 拣 我们
拣 我们 爱
我们 爱 吃
爱 吃 的
吃 的 东西
的 东西 做了
东西 做了 按着
做了 按着 人数
按着 人数 再装
人数 再装 了
再装 了 盒子
了 盒子 来
盒子 来 早饭
来 早饭 也
早饭 也 摆在
也 摆在 园里
摆在 园里 吃
园里 吃 商议
吃 商议 之间
商议 之间 早
之间 早 又
早 又 掌灯
又 掌灯 一夕
掌灯 一夕 无
一夕 无 话
无 话 次日
话 次日 清早
次日 清早 起来
清早 起来 可喜
起来 可喜 这日
可喜 这日 天气
这日 天气 清朗
天气 清朗 李纨
清朗 李纨 清晨
李纨 清晨 起来
清晨 起来 看着
起来 看着 老婆子
看着 老婆子 丫头
老婆子 丫头 们
丫头 们 扫
们 扫 那些
扫 那些 落叶
那些 落叶 并
落叶 并 擦抹
