第 119 章
119 章 中乡
章 中乡 魁
中乡 魁 宝玉
魁 宝玉 却尘缘
宝玉 却尘缘 沐
却尘缘 沐 皇恩
沐 皇恩 贾家
皇恩 贾家 延世泽
贾家 延世泽 话
延世泽 话 说
话 说 莺儿
说 莺儿 见
莺儿 见 宝玉
见 宝玉 说话
宝玉 说话 摸不着头脑
说话 摸不着头脑 正自要
摸不着头脑 正自要 走
正自要 走 只
走 只 听宝玉
只 听宝玉 又
听宝玉 又 说道
又 说道 傻丫头
说道 傻丫头 我
傻丫头 我 告诉
我 告诉 你
告诉 你 罢
你 罢 你
罢 你 姑娘
你 姑娘 既是
姑娘 既是 有
既是 有 造化
有 造化 的
造化 的 你
的 你 跟着
你 跟着 他
跟着 他 自然
他 自然 也是
自然 也是 有
也是 有 造化
有 造化 的
造化 的 了
的 了 你
了 你 袭人
你 袭人 姐姐
袭人 姐姐 是
姐姐 是 靠不住
是 靠不住 的
靠不住 的 只要
的 只要 往后
只要 往后 你
往后 你 尽心
你 尽心 伏侍
尽心 伏侍 他
伏侍 他 就是了
他 就是了 日后
就是了 日后 或
日后 或 有
或 有 好处
有 好处 也
好处 也 不枉
也 不枉 你
不枉 你 跟着
你 跟着 他
跟着 他 熬
他 熬 了
熬 了 一场
了 一场 莺儿
一场 莺儿 听
莺儿 听 着
听 着 前头
着 前头 像
前头 像 话
像 话 后头
话 后头 说的
后头 说的 又
说的 又 有些
又 有些 不像
有些 不像 了
不像 了 便道
了 便道 我
便道 我 知道
我 知道 了
知道 了 姑娘
了 姑娘 还
姑娘 还 等
还 等 我
等 我 呢
我 呢 二爷
呢 二爷 要
二爷 要 吃
要 吃 果子
吃 果子 时
果子 时 打发
时 打发 小丫头
打发 小丫头 叫
小丫头 叫 我
叫 我 就是了
我 就是了 宝玉
就是了 宝玉 点头
宝玉 点头 莺儿
点头 莺儿 才
莺儿 才 去了
才 去了 一时
去了 一时 宝钗
一时 宝钗 袭人
宝钗 袭人 回来
袭人 回来 各自
回来 各自 房中
各自 房中 去了
房中 去了 不提
去了 不提 且说
不提 且说 过了
且说 过了 几天
过了 几天 便是
几天 便是 场期
便是 场期 别人
场期 别人 只知
别人 只知 盼望
只知 盼望 他
盼望 他 爷儿
他 爷儿 两个
爷儿 两个 作了
两个 作了 好
作了 好 文章
好 文章 便
文章 便 可以
便 可以 高中
可以 高中 的
高中 的 了
的 了 只有
了 只有 宝钗见
只有 宝钗见 宝玉
宝钗见 宝玉 的
宝玉 的 工课
的 工课 虽好
工课 虽好 只是
虽好 只是 那
只是 那 有意无意
那 有意无意 之间
有意无意 之间 却别
之间 却别 有
却别 有 一种
有 一种 冷静
一种 冷静 的
冷静 的 光景
的 光景 知
光景 知 他
知 他 要
他 要 进场
要 进场 了
进场 了 头
了 头 一件
头 一件 叔侄
一件 叔侄 两个
叔侄 两个 都是
两个 都是 初次
都是 初次 赴考
初次 赴考 恐
赴考 恐 人马
恐 人马 拥挤
人马 拥挤 有
拥挤 有 什么
有 什么 失闪
什么 失闪 第二
失闪 第二 件
第二 件 宝玉
件 宝玉 自
宝玉 自 和尚
自 和尚 去
和尚 去 后
去 后 总
后 总 不
总 不 出门
不 出门 虽然
出门 虽然 见
虽然 见 他
见 他 用功
他 用功 喜欢
用功 喜欢 只是
喜欢 只是 改
只是 改 的
改 的 太速
的 太速 太好了
太速 太好了 反倒
太好了 反倒 有些
反倒 有些 信
有些 信 不及
信 不及 只怕
不及 只怕 又有
只怕 又有 什么
又有 什么 变故
什么 变故 所以
变故 所以 进场
所以 进场 的
进场 的 头
的 头 一天
头 一天 一面
一天 一面 派
一面 派 了
派 了 袭人
了 袭人 带了
袭人 带了 小丫头
带了 小丫头 们
小丫头 们 同着
们 同着 素云
同着 素云 等
素云 等 给
等 给 他
给 他 爷儿
他 爷儿 两个
爷儿 两个 收拾
两个 收拾 妥当
收拾 妥当 自己
妥当 自己 又
自己 又 都
又 都 过了
都 过了 目
过了 目 好好
目 好好 的
好好 的 搁起
的 搁起 预备
搁起 预备 着
预备 着 一面
着 一面 过来
一面 过来 同
过来 同 李纨
同 李纨 回
李纨 回 了
回 了 王夫人
了 王夫人 拣
王夫人 拣 家里
拣 家里 老成
家里 老成 的
老成 的 管事
的 管事 的
管事 的 多派
的 多派 了
多派 了 几个
了 几个 只说
几个 只说 怕
只说 怕 人马
怕 人马 拥挤
人马 拥挤 碰
拥挤 碰 了
碰 了 次日
了 次日 宝玉
次日 宝玉 贾兰
宝玉 贾兰 换
贾兰 换 了
换 了 半新不旧
了 半新不旧 的
半新不旧 的 衣服
的 衣服 欣然
衣服 欣然 过来
欣然 过来 见
过来 见 了
见 了 王夫人
了 王夫人 王夫人
王夫人 王夫人 嘱咐
王夫人 嘱咐 道
嘱咐 道 你们
道 你们 爷儿
你们 爷儿 两个
爷儿 两个 都是
两个 都是 初次
都是 初次 下场
初次 下场 但是
下场 但是 你们
但是 你们 活
你们 活 了
活 了 这么
了 这么 大
这么 大 并
大 并 不曾
并 不曾 离开
不曾 离开 我
离开 我 一天
我 一天 就是
一天 就是 不
就是 不 在
不 在 我
在 我 跟前
我 跟前 也是
跟前 也是 丫头
也是 丫头 媳妇
丫头 媳妇 们
媳妇 们 围着
们 围着 何曾
围着 何曾 自己
何曾 自己 孤身
自己 孤身 睡过
孤身 睡过 一夜
睡过 一夜 今日
一夜 今日 各自
今日 各自 进去
各自 进去 孤
进去 孤 孤
孤 孤 凄
孤 凄 凄
凄 凄 举目无亲
凄 举目无亲 须要
举目无亲 须要 自己
须要 自己 保重
自己 保重 早些
保重 早些 作完
早些 作完 了
作完 了 文章
了 文章 出来
文章 出来 找
出来 找 着
找 着 家人
着 家人 早些
家人 早些 回来
早些 回来 也
回来 也 叫
也 叫 你
叫 你 母亲
你 母亲 媳妇
母亲 媳妇 们
媳妇 们 放心
们 放心 王夫人
放心 王夫人 说着
王夫人 说着 不免
说着 不免 伤起
不免 伤起 心来
伤起 心来 贾兰
心来 贾兰 听
贾兰 听 一句
听 一句 答应
一句 答应 一句
答应 一句 只见
一句 只见 宝玉
只见 宝玉 一声
宝玉 一声 不
一声 不 哼
不 哼 待
哼 待 王夫人
待 王夫人 说完
王夫人 说完 了
说完 了 走
了 走 过来
走 过来 给
过来 给 王夫人
给 王夫人 跪下
王夫人 跪下 满眼
跪下 满眼 流泪
满眼 流泪 磕
流泪 磕 了
磕 了 三个
了 三个 头
三个 头 说道
头 说道 母亲
说道 母亲 生
母亲 生 我
生 我 一世
我 一世 我
一世 我 也
我 也 无可
也 无可 答报
无可 答报 只有
答报 只有 这一
只有 这一 入场
这一 入场 用心
入场 用心 作了
用心 作了 文章
作了 文章 好好
文章 好好 的
好好 的 中
的 中 个
中 个 举人
个 举人 出来
举人 出来 那时
出来 那时 太太
那时 太太 喜欢
太太 喜欢 喜欢
喜欢 喜欢 便是
喜欢 便是 儿子
便是 儿子 一辈子
儿子 一辈子 的
一辈子 的 事
的 事 也
事 也 完
也 完 了
完 了 一辈子
了 一辈子 的
一辈子 的 不好
的 不好 也
不好 也 都
也 都 遮
都 遮 过去
遮 过去 了
过去 了 王夫人
了 王夫人 听了
王夫人 听了 更觉
听了 更觉 伤心
更觉 伤心 便道
伤心 便道 你
便道 你 有
你 有 这个
有 这个 心
这个 心 自然
心 自然 是
自然 是 好
是 好 的
好 的 可惜
的 可惜 你老
可惜 你老 太太
你老 太太 不能
太太 不能 见
不能 见 你
见 你 的
你 的 面
的 面 了
面 了 一面
了 一面 说
一面 说 一面
说 一面 哭
一面 哭 着
哭 着 拉
着 拉 他
拉 他 那宝玉
他 那宝玉 只管
那宝玉 只管 跪
只管 跪 着
跪 着 不肯
着 不肯 起来
不肯 起来 便
起来 便 说道
便 说道 老太太
说道 老太太 见
老太太 见 与
见 与 不见
与 不见 总是
不见 总是 知道
总是 知道 的
知道 的 喜欢
的 喜欢 的
喜欢 的 既
的 既 能
既 能 知道
能 知道 了
知道 了 喜欢
了 喜欢 了
喜欢 了 便是
了 便是 不见
便是 不见 也
不见 也 和
也 和 见
和 见 了
见 了 的
了 的 一样
的 一样 只不过
一样 只不过 隔
只不过 隔 了
隔 了 形质
了 形质 并非
形质 并非 隔
并非 隔 了
隔 了 神气
了 神气 啊
神气 啊 李纨
啊 李纨 见
李纨 见 王夫人
见 王夫人 和
王夫人 和 他
和 他 如此
他 如此 一则
如此 一则 怕
一则 怕 勾起
怕 勾起 宝玉
勾起 宝玉 的
宝玉 的 病来
的 病来 二则
病来 二则 也
二则 也 觉得
也 觉得 光景
觉得 光景 不大
光景 不大 吉祥
不大 吉祥 连忙
吉祥 连忙 过来
连忙 过来 说道
过来 说道 太太
说道 太太 这是
太太 这是 大喜
这是 大喜 的
大喜 的 事
的 事 为什么
事 为什么 这样
为什么 这样 伤心
这样 伤心 况且
伤心 况且 宝兄弟
况且 宝兄弟 近来
宝兄弟 近来 很知
近来 很知 好歹
很知 好歹 很
好歹 很 孝顺
很 孝顺 又
孝顺 又 肯
又 肯 用功
肯 用功 只要
用功 只要 带了
只要 带了 侄儿
带了 侄儿 进去
侄儿 进去 好好
进去 好好 的
好好 的 作
的 作 文章
作 文章 早早
