第 77 章
77 章 俏
章 俏 丫鬟
俏 丫鬟 抱屈
丫鬟 抱屈 夭
抱屈 夭 风流
夭 风流 美
风流 美 优伶
美 优伶 斩情
优伶 斩情 归水
斩情 归水 月
归水 月 话
月 话 说
话 说 王夫人
说 王夫人 见
王夫人 见 中秋
见 中秋 已过
中秋 已过 凤姐
已过 凤姐 病
凤姐 病 也
病 也 比
也 比 先减
比 先减 了
先减 了 虽未大愈
了 虽未大愈 然亦
虽未大愈 然亦 可以
然亦 可以 出入
可以 出入 行走
出入 行走 得
行走 得 了
得 了 仍命
了 仍命 大夫
仍命 大夫 每日
大夫 每日 诊脉
每日 诊脉 服药
诊脉 服药 又
服药 又 开了
又 开了 丸药
开了 丸药 方来
丸药 方来 配
方来 配 调经
配 调经 养荣丸
调经 养荣丸 因用
养荣丸 因用 上
因用 上 等
上 等 人参
等 人参 二两
人参 二两 王夫人
二两 王夫人 取时
王夫人 取时 翻寻
取时 翻寻 了
翻寻 了 半日
了 半日 只
半日 只 向
只 向 小
向 小 匣
小 匣 内
匣 内 寻
内 寻 了
寻 了 几枝
了 几枝 簪
几枝 簪 挺
簪 挺 粗细
挺 粗细 的
粗细 的 王夫人
的 王夫人 看了
王夫人 看了 嫌
看了 嫌 不好
嫌 不好 命
不好 命 再
命 再 找
再 找 去
找 去 又
去 又 找
又 找 了
找 了 一
了 一 大包
一 大包 须沫
大包 须沫 出来
须沫 出来 王夫人
出来 王夫人 焦躁
王夫人 焦躁 道
焦躁 道 用不着
道 用不着 偏有
用不着 偏有 但用
偏有 但用 着
但用 着 了
着 了 再
了 再 找不着
再 找不着 成日
找不着 成日 家
成日 家 我
家 我 叫
我 叫 你们
叫 你们 查一查
你们 查一查 都
查一查 都 归拢
都 归拢 一处
归拢 一处 你们
一处 你们 白不听
你们 白不听 就
白不听 就 随手
就 随手 混
随手 混 撂
混 撂 彩云
撂 彩云 道
彩云 道 想
道 想 是
想 是 没
是 没 了
没 了 就
了 就 只有
就 只有 这个
只有 这个 上次
这个 上次 那边
上次 那边 的
那边 的 太太
的 太太 来
太太 来 寻
来 寻 了
寻 了 去了
了 去了 王夫人
去了 王夫人 道
王夫人 道 没
道 没 有
没 有 的话
有 的话 你
的话 你 再
你 再 细
再 细 找
细 找 找
找 找 彩云
找 彩云 只得
彩云 只得 又去
只得 又去 找寻
又去 找寻 拿
找寻 拿 了
拿 了 几包
了 几包 药材
几包 药材 来
药材 来 说
来 说 我们
说 我们 不认
我们 不认 的
不认 的 这个
的 这个 请
这个 请 太太
请 太太 自看
太太 自看 除了
自看 除了 这个
除了 这个 没有
这个 没有 了
没有 了 王夫人
了 王夫人 打开
王夫人 打开 看时
打开 看时 也
看时 也 都
也 都 忘了
都 忘了 不知
忘了 不知 都是
不知 都是 什
都是 什 么
什 么 并
么 并 没有
并 没有 一支
没有 一支 人参
一支 人参 因
人参 因 一面
因 一面 遣人
一面 遣人 去
遣人 去 问
去 问 凤姐
问 凤姐 有无
凤姐 有无 凤姐
有无 凤姐 来说
凤姐 来说 也
来说 也 只
也 只 有些
只 有些 参膏
有些 参膏 芦
参膏 芦 须
芦 须 虽
须 虽 有
虽 有 几根
有 几根 也
几根 也 不是
也 不是 上好
不是 上好 的
上好 的 每日
的 每日 还要
每日 还要 煎药
还要 煎药 里
煎药 里 用
里 用 呢
用 呢 王夫人
呢 王夫人 听了
王夫人 听了 只得
听了 只得 向
只得 向 邢夫人
向 邢夫人 那里
邢夫人 那里 问去
那里 问去 说
问去 说 因
说 因 上次
因 上次 没
上次 没 了
没 了 才
了 才 往
才 往 这里
往 这里 来
这里 来 寻
来 寻 早已
寻 早已 用
早已 用 完
用 完 了
完 了 王夫人
了 王夫人 没法
王夫人 没法 只得
没法 只得 亲身
只得 亲身 过来
