第 117 章
117 章 阻
章 阻 超凡
阻 超凡 佳人
超凡 佳人 双护玉
佳人 双护玉 欣聚党
双护玉 欣聚党 恶
欣聚党 恶 子独承
恶 子独承 家
子独承 家 话
家 话 说
话 说 王夫人
说 王夫人 打发
王夫人 打发 人来
打发 人来 叫
人来 叫 宝钗
叫 宝钗 过去
宝钗 过去 商量
过去 商量 宝玉
商量 宝玉 听见
宝玉 听见 说是
听见 说是 和尚
说是 和尚 在
和尚 在 外头
在 外头 赶忙
外头 赶忙 的
赶忙 的 独自
的 独自 一人
独自 一人 走到
一人 走到 前头
走到 前头 嘴里
前头 嘴里 乱
嘴里 乱 嚷
乱 嚷 道
嚷 道 我的
道 我的 师父
我的 师父 在
师父 在 那里
在 那里 叫
那里 叫 了
叫 了 半天
了 半天 并
半天 并 不见
并 不见 有
不见 有 和尚
有 和尚 只
和尚 只 得
只 得 走到
得 走到 外面
走到 外面 见
外面 见 李贵
见 李贵 将
李贵 将 和尚
将 和尚 拦住
和尚 拦住 不放
拦住 不放 他
不放 他 进来
他 进来 宝玉
进来 宝玉 便
宝玉 便 说道
便 说道 太太
说道 太太 叫
太太 叫 我
叫 我 请
我 请 师父
请 师父 进
师父 进 去
进 去 李贵
去 李贵 听了
李贵 听了 松
听了 松 了
松 了 手
了 手 那
手 那 和尚
那 和尚 便
和尚 便 摇摇摆摆
便 摇摇摆摆 的
摇摇摆摆 的 进来
的 进来 宝玉
进来 宝玉 看见
宝玉 看见 那僧
看见 那僧 的
那僧 的 形状
的 形状 与
形状 与 他
与 他 死
他 死 去
死 去 时
去 时 所见
时 所见 的
所见 的 一般
的 一般 心里
一般 心里 早
心里 早 有些
早 有些 明白
有些 明白 了
明白 了 便
了 便 上前
便 上前 施礼
上前 施礼 连
施礼 连 叫
连 叫 师父
叫 师父 弟子
师父 弟子 迎候
弟子 迎候 来
迎候 来 迟
来 迟 那僧
迟 那僧 说
那僧 说 我
说 我 不要
我 不要 你们
不要 你们 接待
你们 接待 只要
接待 只要 银子
只要 银子 拿
银子 拿 了
拿 了 来
了 来 我
来 我 就
我 就 走
就 走 宝玉
走 宝玉 听
宝玉 听 来
听 来 又
来 又 不
又 不 像
不 像 有
像 有 道
有 道 行
道 行 的话
行 的话 看
的话 看 他
看 他 满头
他 满头 癞疮
满头 癞疮 浑身
癞疮 浑身 腌
浑身 腌 破烂
腌 破烂 心里
破烂 心里 想道
心里 想道 自古
想道 自古 说
自古 说 真人不露相
说 真人不露相 露相
真人不露相 露相 不
露相 不 真人
不 真人 也
真人 也 不可
也 不可 当面错过
不可 当面错过 我且
当面错过 我且 应
我且 应 了
应 了 他
了 他 谢银
他 谢银 并
谢银 并 探探
并 探探 他的
探探 他的 口气
他的 口气 便
口气 便 说道
便 说道 师
说道 师 父
师 父 不必
父 不必 性急
不必 性急 现在
性急 现在 家母
现在 家母 料理
家母 料理 请
料理 请 师父
请 师父 坐下
师父 坐下 略
坐下 略 等
略 等 片刻
等 片刻 弟子
片刻 弟子 请问
弟子 请问 师父
请问 师父 可是
师父 可是 从
可是 从 太虚
从 太虚 幻境
太虚 幻境 而
幻境 而 来
而 来 那
来 那 和尚
那 和尚 道
和尚 道 什么
道 什么 幻境
什么 幻境 不过
幻境 不过 是
