第 107 章
107 章 散馀资
章 散馀资 贾母明
散馀资 贾母明 大义
贾母明 大义 复世
大义 复世 职政老
复世 职政老 沐
职政老 沐 天恩
沐 天恩 话
天恩 话 说
话 说 贾政进
说 贾政进 内
贾政进 内 见
内 见 了
见 了 枢密院
了 枢密院 各位
枢密院 各位 大臣
各位 大臣 又见
大臣 又见 了
又见 了 各位
了 各位 王爷
各位 王爷 北静王
王爷 北静王 道
北静王 道 今日
道 今日 我
今日 我 们
我 们 传
们 传 你
传 你 来
你 来 有
来 有 遵旨
有 遵旨 问
遵旨 问 你
问 你 的
你 的 事
的 事 贾政
事 贾政 急忙
贾政 急忙 跪下
急忙 跪下 众
跪下 众 大臣
众 大臣 便
大臣 便 问道
便 问道 你
问道 你 哥哥
你 哥哥 交通
哥哥 交通 外官
交通 外官 恃强凌弱
外官 恃强凌弱 纵儿
恃强凌弱 纵儿 聚赌
纵儿 聚赌 强占
聚赌 强占 良民
强占 良民 妻女
良民 妻女 不遂
妻女 不遂 逼死
不遂 逼死 的
逼死 的 事
的 事 你
事 你 都
你 都 知道
都 知道 么
知道 么 贾政回
么 贾政回 道
贾政回 道 犯
道 犯 官
犯 官 自从
官 自从 主恩
自从 主恩 钦点
主恩 钦点 学政
钦点 学政 任满
学政 任满 后
任满 后 查看
后 查看 赈恤
查看 赈恤 于
赈恤 于 上年
于 上年 冬底
上年 冬底 回家
冬底 回家 又
回家 又 蒙堂
又 蒙堂 派
蒙堂 派 工程
派 工程 后
工程 后 又
后 又 任
又 任 江西
任 江西 粮道
江西 粮道 题
粮道 题 参回
题 参回 都
参回 都 仍
都 仍 在
仍 在 工部
在 工部 行走
工部 行走 日夜
行走 日夜 不敢
日夜 不敢 怠惰
不敢 怠惰 一应
怠惰 一应 家务
一应 家务 并未
家务 并未 留心
并未 留心 伺察
留心 伺察 实在
伺察 实在 糊涂
实在 糊涂 不能
糊涂 不能 管教
不能 管教 子侄
管教 子侄 这
子侄 这 就是
这 就是 辜负
就是 辜负 圣恩
辜负 圣恩 只求
圣恩 只求 主
只求 主 上
主 上 重重
上 重重 治罪
重重 治罪 北静王
治罪 北静王 据说
北静王 据说 转
据说 转 奏
转 奏 不多时
奏 不多时 传出
不多时 传出 旨来
传出 旨来 北静王
旨来 北静王 便述
北静王 便述 道
便述 道 主上
道 主上 因御
主上 因御 史参奏
因御 史参奏 贾赦
史参奏 贾赦 交通
贾赦 交通 外官
交通 外官 恃强凌弱
外官 恃强凌弱 据
恃强凌弱 据 该
据 该 御史
该 御史 指出
御史 指出 平安
指出 平安 州
平安 州 互相
州 互相 往来
互相 往来 贾赦
往来 贾赦 包揽词讼
贾赦 包揽词讼 严
包揽词讼 严 鞫
严 鞫 贾赦
鞫 贾赦 据供
贾赦 据供 平安
据供 平安 州
平安 州 原系
州 原系 姻亲
原系 姻亲 来往
姻亲 来往 并未
来往 并未 干涉
并未 干涉 官事
干涉 官事 该
官事 该 御史
该 御史 亦
御史 亦 不能
亦 不能 指实
不能 指实 惟有
指实 惟有 倚势
惟有 倚势 强索
倚势 强索 石呆子
强索 石呆子 古扇
石呆子 古扇 一款
古扇 一款 是
一款 是 实
是 实 的
实 的 然系
的 然系 玩物
然系 玩物 究非
玩物 究非 强索
究非 强索 良民
强索 良民 之物
良民 之物 可比
之物 可比 虽
可比 虽 石呆子
虽 石呆子 自尽
石呆子 自尽 亦系
自尽 亦系 疯
亦系 疯 傻
疯 傻 所致
傻 所致 与
所致 与 逼勒致
与 逼勒致 死者
逼勒致 死者 有
死者 有 间
有 间 今
间 今 从宽
今 从宽 将
从宽 将 贾赦
将 贾赦 发往
贾赦 发往 台站
发往 台站 效力
台站 效力 赎罪
效力 赎罪 所参
赎罪 所参 贾珍
所参 贾珍 强占
贾珍 强占 良民
强占 良民 妻女
良民 妻女 为
妻女 为 妾
为 妾 不
妾 不 从
不 从 逼死
从 逼死 一款
逼死 一款 提取
一款 提取 都察院
提取 都察院 原案
都察院 原案 看
原案 看 得
看 得 尤二姐
得 尤二姐 实系
尤二姐 实系 张华
实系 张华 指腹为婚
张华 指腹为婚 未娶
指腹为婚 未娶 之妻
未娶 之妻 因伊
之妻 因伊 贫苦
因伊 贫苦 自愿
贫苦 自愿 退
自愿 退 婚
退 婚 尤二姐
婚 尤二姐 之母
尤二姐 之母 愿结
之母 愿结 贾珍之
愿结 贾珍之 弟为
贾珍之 弟为 妾
弟为 妾 并非
妾 并非 强占
并非 强占 再
强占 再 尤三姐
再 尤三姐 自刎
尤三姐 自刎 掩埋
自刎 掩埋 并未
掩埋 并未 报官
并未 报官 一款
报官 一款 查
一款 查 尤三姐
查 尤三姐 原系
尤三姐 原系 贾珍
原系 贾珍 妻妹
贾珍 妻妹 本意
妻妹 本意 为
本意 为 伊
为 伊 择配
伊 择配 因
择配 因 被
因 被 逼索
被 逼索 定礼
逼索 定礼 众人
定礼 众人 扬言
众人 扬言 秽乱
扬言 秽乱 以致
秽乱 以致 羞
以致 羞 忿
羞 忿 自尽
忿 自尽 并非
自尽 并非 贾珍
并非 贾珍 逼勒
贾珍 逼勒 致死
逼勒 致死 但
致死 但 身系
但 身系 世袭
身系 世袭 职员
世袭 职员 罔知
职员 罔知 法纪
罔知 法纪 私埋
法纪 私埋 人命
私埋 人命 本应
人命 本应 重治
本应 重治 念
重治 念 伊究
念 伊究 属
伊究 属 功臣
属 功臣 后裔
功臣 后裔 不忍
后裔 不忍 加罪
不忍 加罪 亦
加罪 亦 从宽
亦 从宽 革
从宽 革 去世
革 去世 职
去世 职 派往
职 派往 海疆
派往 海疆 效力
海疆 效力 赎罪
效力 赎罪 贾蓉
赎罪 贾蓉 年幼
贾蓉 年幼 无干
年幼 无干 省释
无干 省释 贾政
省释 贾政 实系
贾政 实系 在外
实系 在外 任
在外 任 多年
任 多年 居官
多年 居官 尚属
居官 尚属 勤慎
尚属 勤慎 免治伊
勤慎 免治伊 治家
免治伊 治家 不正
治家 不正 之罪
不正 之罪 贾政听
之罪 贾政听 了
贾政听 了 感激涕零
了 感激涕零 叩首
感激涕零 叩首 不及
叩首 不及 又
不及 又 叩求
又 叩求 王爷
叩求 王爷 代奏
王爷 代奏 下忱
代奏 下忱 北静王
下忱 北静王 道
北静王 道 你
道 你 该
你 该 叩
该 叩 谢天恩
叩 谢天恩 更
谢天恩 更 有
更 有 何奏
有 何奏 贾政道
何奏 贾政道 犯官仰
贾政道 犯官仰 蒙圣恩
犯官仰 蒙圣恩 不
蒙圣恩 不 加大
不 加大 罪
加大 罪 又
罪 又 蒙
又 蒙 将
蒙 将 家产
将 家产 给
家产 给 还
给 还 实
还 实 在
实 在 扪心
在 扪心 惶愧
扪心 惶愧 愿
惶愧 愿 将
愿 将 祖宗
将 祖宗 遗
祖宗 遗 受重
遗 受重 禄
受重 禄 积
禄 积 馀
积 馀 置产
馀 置产 一并
置产 一并 交官
一并 交官 北静王
交官 北静王 道
北静王 道 主
道 主 上
主 上 仁慈
上 仁慈 待
仁慈 待 下
待 下 明
下 明 慎用
明 慎用 刑
慎用 刑 赏罚
刑 赏罚 无差
赏罚 无差 如今
无差 如今 既蒙
如今 既蒙 莫大
既蒙 莫大 深恩
莫大 深恩 给
深恩 给 还
给 还 财产
还 财产 你
财产 你 又
你 又 何必
又 何必 多此
何必 多此 一奏
多此 一奏 众官
一奏 众官 也说
众官 也说 不必
也说 不必 贾政便
不必 贾政便 谢了恩
贾政便 谢了恩 叩谢
谢了恩 叩谢 了
叩谢 了 王爷
了 王爷 出来
王爷 出来 恐
出来 恐 贾母
恐 贾母 不
贾母 不 放心
不 放心 急忙
放心 急忙 赶回
急忙 赶回 上下
赶回 上下 男女
上下 男女 人
男女 人 等
人 等 不知
等 不知 传进
不知 传进 贾政
传进 贾政 是
贾政 是 何
是 何 吉凶
何 吉凶 都
吉凶 都 在
都 在 外头
在 外头 打听
外头 打听 一见
打听 一见 贾政回
一见 贾政回 家
贾政回 家 都
家 都 略略
都 略略 的
略略 的 放心
的 放心 也
放心 也 不敢
也 不敢 问
不敢 问 只见
问 只见 贾政忙
只见 贾政忙 忙的
贾政忙 忙的 走到
忙的 走到 贾母
走到 贾母 跟前
贾母 跟前 将
跟前 将 蒙圣恩
将 蒙圣恩 宽免
蒙圣恩 宽免 的
宽免 的 事
的 事 细细
事 细细 告诉
细细 告诉 了
告诉 了 一遍
了 一遍 贾母
一遍 贾母 虽则
贾母 虽则 放心
虽则 放心 只是
放心 只是 两个
只是 两个 世职
两个 世职 革去
世职 革去 贾赦
革去 贾赦 又
贾赦 又 往
又 往 台站
往 台站 效力
台站 效力 贾珍
效力 贾珍 又
贾珍 又 往
又 往 海疆
往 海疆 不免
海疆 不免 又
不免 又 悲伤
又 悲伤 起来
悲伤 起来 邢夫人
起来 邢夫人 尤氏
邢夫人 尤氏 听见
尤氏 听见 这话
听见 这话 更
这话 更 哭
更 哭 起来
哭 起来 贾政便
起来 贾政便 道
贾政便 道 老太太
道 老太太 放心
老太太 放心 大哥
放心 大哥 虽则
大哥 虽则 台站
虽则 台站 效力
台站 效力 也是
效力 也是 为
也是 为 国家
为 国家 办事
国家 办事 不致
办事 不致 受苦
不致 受苦 只要
受苦 只要 办得
只要 办得 妥当
办得 妥当 就
妥当 就 可
就 可 复职
可 复职 珍儿
复职 珍儿 正是
珍儿 正是 年轻
正是 年轻 很该
年轻 很该 出力
很该 出力 若
出力 若 不是
若 不是 这样
不是 这样 便是
这样 便是 祖父
便是 祖父 的
祖父 的 馀
的 馀 德
馀 德 亦
德 亦 不能
亦 不能 久享
不能 久享 说
久享 说 了
说 了 些
了 些 宽慰
些 宽慰 的话
宽慰 的话 贾母素
的话 贾母素 来本
贾母素 来本 不
来本 不 大喜
不 大喜 欢
大喜 欢 贾赦
欢 贾赦 那边
贾赦 那边 东府
那边 东府 贾珍
东府 贾珍 究竟
贾珍 究竟 隔
究竟 隔 了
隔 了 一层
了 一层 只有
一层 只有 邢夫人
只有 邢夫人 尤氏
邢夫人 尤氏 痛哭
尤氏 痛哭 不止
痛哭 不止 邢夫人
不止 邢夫人 想着
邢夫人 想着 家
想着 家 产一空
家 产一空 丈夫
产一空 丈夫 年
丈夫 年 老远
年 老远 出
老远 出 膝下
出 膝下 虽有琏儿
膝下 虽有琏儿 又是
虽有琏儿 又是 素来
又是 素来 顺
素来 顺 他
顺 他 二叔
他 二叔 的
二叔 的 如今
的 如今 都
如今 都 靠着
都 靠着 二叔
靠着 二叔 他
二叔 他 两口子
他 两口子 自然
两口子 自然 更
自然 更 顺着
更 顺着 那边
顺着 那边 去了
那边 去了 独我
去了 独我 一人
独我 一人 孤苦伶仃
一人 孤苦伶仃 怎么
孤苦伶仃 怎么 好
怎么 好 那
好 那 尤氏
那 尤氏 本来
尤氏 本来 独掌
本来 独掌 宁
独掌 宁 府
宁 府 的
府 的 家计
的 家计 除了
家计 除了 贾珍
除了 贾珍 也
贾珍 也 算是
也 算是 惟
算是 惟 他
惟 他 为
他 为 尊
为 尊 又
尊 又 与
又 与 贾珍
与 贾珍 夫妻
贾珍 夫妻 相
夫妻 相 和
相 和 如今
和 如今 犯事
如今 犯事 远出
犯事 远出 家财
远出 家财 抄
家财 抄 尽
抄 尽 依住
尽 依住 荣府
依住 荣府 虽则
荣府 虽则 老太太
虽则 老太太 疼爱
老太太 疼爱 终是
疼爱 终是 依人
终是 依人 门下
依人 门下 又
门下 又 兼
又 兼 带
兼 带 着
带 着 佩凤
着 佩凤 偕鸾
佩凤 偕鸾 那蓉儿
偕鸾 那蓉儿 夫
那蓉儿 夫 妇
夫 妇 也
妇 也 还
也 还 不能
还 不能 兴家立业
不能 兴家立业 又
兴家立业 又 想起
又 想起 二
想起 二 妹妹
二 妹妹 三妹妹
妹妹 三妹妹 都是
三妹妹 都是 琏
都是 琏 二爷
琏 二爷 闹
二爷 闹 的
闹 的 如今
的 如今 他们
如今 他们 倒
他们 倒 安然
倒 安然 无事
安然 无事 依旧
无事 依旧 夫妻
依旧 夫妻 完聚
夫妻 完聚 只
完聚 只 剩
只 剩 我们
剩 我们 几个
我们 几个 怎么
几个 怎么 度日
怎么 度日 想到
度日 想到 这里
想到 这里 痛哭
这里 痛哭 起来
痛哭 起来 贾母
起来 贾母 不
贾母 不 忍
不 忍 便
忍 便 问
便 问 贾政道
问 贾政道 你
贾政道 你 大哥
你 大哥 和珍儿
大哥 和珍儿 现已
和珍儿 现已 定案
现已 定案 可能
定案 可能 回家
可能 回家 蓉
回家 蓉 儿
蓉 儿 既
儿 既 没
既 没 他的
没 他的 事
他的 事 也
事 也 该
也 该 放出
该 放出 来了
放出 来了 贾政道
来了 贾政道 若
贾政道 若 在
若 在 定例
在 定例 呢
定例 呢 大哥
呢 大哥 是
大哥 是 不能
是 不能 回家
不能 回家 的
回家 的 我
的 我 已
我 已 托人
已 托人 徇个
托人 徇个 私情
徇个 私情 叫
私情 叫 我
叫 我 大哥
我 大哥 同着
大哥 同着 侄儿
同着 侄儿 回家
侄儿 回家 好
回家 好 置办
好 置办 行装
置办 行装 衙门
行装 衙门 内
衙门 内 业已
内 业已 应
业已 应 了
应 了 想来
了 想来 蓉
想来 蓉 儿同
蓉 儿同 着
儿同 着 他
着 他 爷爷
他 爷爷 父亲
爷爷 父亲 一起
父亲 一起 出来
一起 出来 只
出来 只 请
只 请 老太太
请 老太太 放心
老太太 放心 儿子
放心 儿子 办去
儿子 办去 贾母
办去 贾母 又
贾母 又 道
又 道 我
道 我 这
我 这 几年
这 几年 老
几年 老 的
老 的 不成人
的 不成人 了
不成人 了 总
了 总 没有
总 没有 问过
没有 问过 家事
问过 家事 如今
家事 如今 东府里
如今 东府里 是
东府里 是 抄
是 抄 了
抄 了 去
了 去 了
去 了 房子
了 房子 入官
房子 入官 不用说
入官 不用说 你
不用说 你 大哥
你 大哥 那边
大哥 那边 琏
那边 琏 儿
琏 儿 那里
儿 那里 也
那里 也 都
也 都 抄
都 抄 了
抄 了 咱们
了 咱们 西府里
咱们 西府里 的
西府里 的 银库
的 银库 和
银库 和 东
和 东 省地
东 省地 土
省地 土 你
土 你 知道
你 知道 还
知道 还 剩
还 剩 了
剩 了 多少
了 多少 他
多少 他 两个
他 两个 起身
两个 起身 也
起身 也 得
也 得 给
得 给 他们
给 他们 几千
他们 几千 银子
几千 银子 才好
银子 才好 贾政正
才好 贾政正 是
贾政正 是 没
是 没 法
没 法 听见
法 听见 贾母
听见 贾母 一问
贾母 一问 心想
一问 心想 着
心想 着 若是
着 若是 说明
若是 说明 又
说明 又 恐
又 恐 老太太
恐 老太太 着急
老太太 着急 若不
着急 若不 说明
若不 说明 不用说
说明 不用说 将
不用说 将 来
将 来 只
来 只 现在
只 现在 怎样
现在 怎样 办法
怎样 办法 呢
办法 呢 想
呢 想 毕
想 毕 便
毕 便 回道
便 回道 若
回道 若 老太太
若 老太太 不问
老太太 不问 儿子
不问 儿子 也
儿子 也 不敢
也 不敢 说
不敢 说 如今
说 如今 老太太
如今 老太太 既
老太太 既 问到
既 问到 这里
问到 这里 现在
这里 现在 琏
现在 琏 儿
琏 儿 也
儿 也 在
也 在 这里
在 这里 昨日
这里 昨日 儿子
昨日 儿子 已查
儿子 已查 了
已查 了 旧库
了 旧库 的
旧库 的 银子
的 银子 早已
银子 早已 虚空
早已 虚空 不但
虚空 不但 用尽
不但 用尽 外头
用尽 外头 还有
外头 还有 亏空
还有 亏空 现今
亏空 现今 大哥
现今 大哥 这件
大哥 这件 事
这件 事 若不
事 若不 花银
若不 花银 托人
花银 托人 虽说
托人 虽说 主上
虽说 主上 宽恩
主上 宽恩 只怕
宽恩 只怕 他们
只怕 他们 爷儿
他们 爷儿 两个
爷儿 两个 也
两个 也 不大好
也 不大好 就是
不大好 就是 这项
就是 这项 银子
这项 银子 尚无
银子 尚无 打算
尚无 打算 东省
打算 东省 的
东省 的 地亩
的 地亩 早已
地亩 早已 寅
早已 寅 年
寅 年 吃
年 吃 了
吃 了 卯
了 卯 年
卯 年 的
年 的 租儿
的 租儿 了
租儿 了 一时
了 一时 也
一时 也 弄
也 弄 不
弄 不 过来
不 过来 只好
过来 只好 尽
只好 尽 所有
尽 所有 蒙圣恩
所有 蒙圣恩 没有
蒙圣恩 没有 动
没有 动 的
动 的 衣服
的 衣服 首饰
衣服 首饰 折变
首饰 折变 了
折变 了 给
了 给 大哥
给 大哥 和珍儿
大哥 和珍儿 作
和珍儿 作 盘费
作 盘费 罢了
盘费 罢了 过日
罢了 过日 的
过日 的 事
的 事 只
事 只 可
只 可 再
可 再 打算
再 打算 贾母
打算 贾母 听了
贾母 听了 又
听了 又 急
又 急 的
急 的 眼泪
的 眼泪 直淌
眼泪 直淌 说道
直淌 说道 怎
说道 怎 样着
怎 样着 咱们
样着 咱们 家
咱们 家 到了
家 到了 这个
到了 这个 田地
这个 田地 了
田地 了 么
了 么 我
么 我 虽
我 虽 没有
虽 没有 经过
没有 经过 我
经过 我 想起
我 想起 我家
想起 我家 向
我家 向 日
向 日 比
日 比 这里
比 这里 还强
这里 还强 十倍
还强 十倍 也是
十倍 也是 摆
也是 摆 了
摆 了 几年
了 几年 虚
几年 虚 架子
虚 架子 没有
架子 没有 出
没有 出 这样
出 这样 事
这样 事 已经
事 已经 塌下来
已经 塌下来 了
塌下来 了 不消
了 不消 一二年
不消 一二年 就
一二年 就 完
就 完 了
完 了 据
了 据 你说
据 你说 起来
你说 起来 咱们
起来 咱们 竟
咱们 竟 一两年
竟 一两年 就
一两年 就 不能
就 不能 支
不能 支 了
支 了 贾政道
了 贾政道 若是
贾政道 若是 这
若是 这 两个
这 两个 世俸
两个 世俸 不动
世俸 不动 外头
不动 外头 还
外头 还 有些
还 有些 挪移
有些 挪移 如今
挪移 如今 无可
如今 无可 指称
无可 指称 谁肯
指称 谁肯 接济
谁肯 接济 说着
接济 说着 也
说着 也 泪流满面
也 泪流满面 想起
泪流满面 想起 亲戚
想起 亲戚 来
亲戚 来 用过
来 用过 我们
用过 我们 的
我们 的 如今
的 如今 都
如今 都 穷
都 穷 了
穷 了 没有
了 没有 用过
没有 用过 我们
用过 我们 的
我们 的 又
的 又 不肯
又 不肯 照应
不肯 照应 昨日
照应 昨日 儿子
昨日 儿子 也
儿子 也 没有
也 没有 细查
没有 细查 只
