第 76 章
76 章 凸碧堂
章 凸碧堂 品笛感
凸碧堂 品笛感 凄清
品笛感 凄清 凹晶馆
凄清 凹晶馆 联诗悲
凹晶馆 联诗悲 寂寞
联诗悲 寂寞 话
寂寞 话 说
话 说 贾赦
说 贾赦 贾政
贾赦 贾政 带领
贾政 带领 贾珍
带领 贾珍 等
贾珍 等 散去
等 散去 不提
散去 不提 且说
不提 且说 贾母
且说 贾母 这里
贾母 这里 命
这里 命 将
命 将 围屏
将 围屏 撤去
围屏 撤去 两席
撤去 两席 并作
两席 并作 一
并作 一 席
一 席 众
席 众 媳妇
众 媳妇 另行
媳妇 另行 擦桌
另行 擦桌 整果
擦桌 整果 更杯
整果 更杯 洗
更杯 洗 箸
洗 箸 陈设
箸 陈设 一番
陈设 一番 贾母
一番 贾母 等
贾母 等 都
等 都 添
都 添 了
添 了 衣
了 衣 盥漱
衣 盥漱 吃
盥漱 吃 茶
吃 茶 方
茶 方 又
方 又 坐下
又 坐下 团团
坐下 团团 围绕
团团 围绕 贾母
围绕 贾母 看时
贾母 看时 宝钗姊妹
看时 宝钗姊妹 二人
宝钗姊妹 二人 不在
二人 不在 坐内
不在 坐内 知
坐内 知 他家
知 他家 去
他家 去 圆月
去 圆月 且
圆月 且 李纨
且 李纨 凤
李纨 凤 姐
凤 姐 二人
姐 二人 又
二人 又 病
又 病 少
病 少 了
少 了 这
了 这 四个
这 四个 人
四个 人 便觉
人 便觉 冷清
便觉 冷清 了
冷清 了 好些
了 好些 贾母因
好些 贾母因 笑道
贾母因 笑道 往年
笑道 往年 你
往年 你 老爷
你 老爷 们
老爷 们 不在
们 不在 家
不在 家 咱们
家 咱们 都是
咱们 都是 请过
都是 请过 姨太太
请过 姨太太 来
姨太太 来 大家
来 大家 赏月
大家 赏月 却
赏月 却 十分
却 十分 热闹
十分 热闹 忽
热闹 忽 一时
忽 一时 想起
一时 想起 你
想起 你 老爷
你 老爷 来
老爷 来 又
来 又 不免
又 不免 想到
不免 想到 母子
想到 母子 夫妻
母子 夫妻 儿女
夫妻 儿女 不能
儿女 不能 一处
不能 一处 也
一处 也 都
也 都 没兴
都 没兴 及至
没兴 及至 今年
及至 今年 你
今年 你 老爷
你 老爷 来了
老爷 来了 正该
来了 正该 大家
正该 大家 团圆
大家 团圆 取乐
团圆 取乐 又
取乐 又 不便
又 不便 请
不便 请 他们
请 他们 娘儿们
他们 娘儿们 来说
娘儿们 来说 笑
来说 笑 说
笑 说 笑
说 笑 况且
笑 况且 他们
况且 他们 今年
他们 今年 又
今年 又 添
又 添 了
添 了 两口
了 两口 人
两口 人 也
人 也 难
也 难 撂下
难 撂下 他们
撂下 他们 跑
他们 跑 到
跑 到 这里
到 这里 来
这里 来 偏
来 偏 又
偏 又 把
又 把 凤丫头
把 凤丫头 病了
凤丫头 病了 有
病了 有 他
有 他 一个人
他 一个人 说说笑笑
一个人 说说笑笑 还
说说笑笑 还 抵得
还 抵得 十个
抵得 十个 人
十个 人 的
人 的 空儿
的 空儿 可见
空儿 可见 天
可见 天 下事
天 下事 总难
下事 总难 十全
总难 十全 说毕
十全 说毕 不觉
说毕 不觉 长叹一声
不觉 长叹一声 随命
长叹一声 随命 拿
随命 拿 大杯
拿 大杯 来
大杯 来 斟
来 斟 热酒
斟 热酒 王夫人
热酒 王夫人 笑道
王夫人 笑道 今
笑道 今 日得
今 日得 母子
日得 母子 团圆
母子 团圆 自比
团圆 自比 往年
自比 往年 有趣
往年 有趣 往年
有趣 往年 娘儿们
往年 娘儿们 虽多
娘儿们 虽多 终不似
虽多 终不似 今年
终不似 今年 骨肉
今年 骨肉 齐全
骨肉 齐全 的
齐全 的 好
的 好 贾
好 贾 母
贾 母 笑道
母 笑道 正是
笑道 正是 为此
正是 为此 所以
为此 所以 我
所以 我 才
我 才 高兴
才 高兴 拿
高兴 拿 大杯
拿 大杯 来
大杯 来 吃酒
来 吃酒 你们
吃酒 你们 也
你们 也 换
也 换 大杯
换 大杯 才
大杯 才 是
才 是 邢夫
是 邢夫 人
邢夫 人 等
人 等 只得
等 只得 换上
只得 换上 大杯
换上 大杯 来
大杯 来 因
来 因 夜深
因 夜深 体乏
夜深 体乏 且
体乏 且 不能
且 不能 胜酒
不能 胜酒 未免
胜酒 未免 都
未免 都 有些
都 有些 倦意
有些 倦意 无奈
倦意 无奈 贾母
无奈 贾母 兴
贾母 兴 犹
兴 犹 未
犹 未 阑
未 阑 只得
阑 只得 陪
只得 陪 饮
陪 饮 贾母
饮 贾母 又
贾母 又 命
又 命 将
命 将 毡毯
将 毡毯 铺
毡毯 铺 在
铺 在 阶上
在 阶上 命
阶上 命 将
命 将 月饼
将 月饼 西瓜
月饼 西瓜 果品
西瓜 果品 等
果品 等 类
等 类 都
类 都 叫
都 叫 搬下
叫 搬下 去
搬下 去 命
去 命 丫头
命 丫头 媳妇
丫头 媳妇 们
媳妇 们 也
们 也 都
也 都 团团
都 团团 围坐
团团 围坐 赏月
围坐 赏月 贾母因
赏月 贾母因 见
贾母因 见 月
见 月 至
月 至 天中
至 天中 比先
天中 比先 越发
比先 越发 精彩
越发 精彩 可爱
精彩 可爱 因说
可爱 因说 如此
因说 如此 好
如此 好 月
好 月 不可不
月 不可不 闻笛
不可不 闻笛 因命
闻笛 因命 又
因命 又 将
又 将 十番
将 十番 上
十番 上 女子
上 女子 传来
女子 传来 贾母
传来 贾母 道
贾母 道 音乐
道 音乐 多
音乐 多 了
多 了 反失
了 反失 雅致
反失 雅致 只用
雅致 只用 吹笛
只用 吹笛 的
吹笛 的 远远
的 远远 的
远远 的 吹
的 吹 起来
吹 起来 就够
起来 就够 了
就够 了 说毕
了 说毕 刚才
说毕 刚才 去
刚才 去 吹
去 吹 时
吹 时 只见
时 只见 跟
只见 跟 邢夫人
跟 邢夫人 的
邢夫人 的 媳妇
的 媳妇 走来
媳妇 走来 向
走来 向 邢夫人
向 邢夫人 说
邢夫人 说 了
说 了 两句
了 两句 话
两句 话 贾母
话 贾母 便
贾母 便 问
便 问 什么
问 什么 事
什么 事 邢夫人
事 邢夫人 便
邢夫人 便 回说
便 回说 方才
回说 方才 大老爷
方才 大老爷 出去
大老爷 出去 被
出去 被 石头
被 石头 绊
石头 绊 了
绊 了 一下
了 一下 歪
一下 歪 了
歪 了 腿
了 腿 贾母
腿 贾母 听说
贾母 听说 忙命
听说 忙命 两个
忙命 两个 婆子
两个 婆子 快
婆子 快 看
快 看 去
看 去 又
去 又 命
又 命 邢夫人
命 邢夫人 快去
邢夫人 快去 邢夫人
快去 邢夫人 遂
邢夫人 遂 告辞
遂 告辞 起身
告辞 起身 贾母
起身 贾母 便
贾母 便 又说
便 又说 珍哥
又说 珍哥 媳妇
珍哥 媳妇 也
媳妇 也 趁便
也 趁便 儿
趁便 儿 就
儿 就 家
就 家 去罢
家 去罢 我
去罢 我 也
我 也 就
也 就 睡
就 睡 了
睡 了 尤氏笑
了 尤氏笑 道
尤氏笑 道 我
道 我 今日
我 今日 不
今日 不 回去
不 回去 了
回去 了 定要
了 定要 和
定要 和 老祖宗
和 老祖宗 吃
老祖宗 吃 一夜
吃 一夜 贾母笑
一夜 贾母笑 道
贾母笑 道 使不得
道 使不得 你们
使不得 你们 小两口儿
你们 小两口儿 今夜
小两口儿 今夜 要团
今夜 要团 团
要团 团 圆圆的
团 圆圆的 如何
圆圆的 如何 为
如何 为 我
为 我 耽搁
我 耽搁 了
耽搁 了 尤氏
了 尤氏 红了脸
尤氏 红了脸 笑道
红了脸 笑道 老祖宗
笑道 老祖宗 说的
老祖宗 说的 我们
说的 我们 太
我们 太 不堪
太 不堪 了
不堪 了 虽
了 虽 是
虽 是 我们
是 我们 年轻
我们 年轻 已经
年轻 已经 是
已经 是 二十
是 二十 来年
二十 来年 的
来年 的 夫妻
的 夫妻 也
夫妻 也 奔
也 奔 四十岁
奔 四十岁 的
四十岁 的 人
的 人 了
人 了 况且
了 况且 孝服
况且 孝服 未满
孝服 未满 陪
未满 陪 着
陪 着 老太太
着 老太太 玩
老太太 玩 一夜
玩 一夜 是
一夜 是 正理
是 正理 贾母
正理 贾母 听说
贾母 听说 笑道
听说 笑道 这话
笑道 这话 很是
这话 很是 我
很是 我 倒
我 倒 也
倒 也 忘了
也 忘了 孝
忘了 孝 未满
孝 未满 可怜
未满 可怜 你
可怜 你 公公
你 公公 已
公公 已 死了
已 死了 二年
死了 二年 多
二年 多 了
多 了 可是
了 可是 我
可是 我 倒
我 倒 忘了
倒 忘了 该罚
忘了 该罚 我
该罚 我 一大
我 一大 杯
一大 杯 既
杯 既 这样
既 这样 你
这样 你 就
你 就 别
就 别 送
别 送 竟
送 竟 陪
竟 陪 着
陪 着 我
着 我 罢
我 罢 叫蓉
罢 叫蓉 儿媳妇
叫蓉 儿媳妇 送
儿媳妇 送 去
送 去 就
去 就 顺便
就 顺便 回去
顺便 回去 罢
回去 罢 尤氏
罢 尤氏 说
尤氏 说 给
说 给 贾蓉
给 贾蓉 媳妇
贾蓉 媳妇 答应
媳妇 答应 着
答应 着 送出
着 送出 邢夫
送出 邢夫 人
邢夫 人 一同
人 一同 至
一同 至 大门
至 大门 各自
大门 各自 上车
各自 上车 回去
上车 回去 不在话下
回去 不在话下 这里
不在话下 这里 众人
这里 众人 赏
众人 赏 了
赏 了 一回
了 一回 桂花
一回 桂花 又
桂花 又 入席
又 入席 换
入席 换 暖酒
换 暖酒 来
暖酒 来 正说
来 正说 着
正说 着 闲话
着 闲话 猛不防
闲话 猛不防 那壁
猛不防 那壁 里
