第 53 章
53 章 宁国府
章 宁国府 除夕
宁国府 除夕 祭
除夕 祭 宗祠
祭 宗祠 荣国府
宗祠 荣国府 元宵
荣国府 元宵 开
元宵 开 夜宴
开 夜宴 话
夜宴 话 说
话 说 宝玉
说 宝玉 见
宝玉 见 晴雯
见 晴雯 将
晴雯 将 雀
将 雀 裘
雀 裘 补完
裘 补完 已
补完 已 使得
已 使得 力尽神危
使得 力尽神危 忙命
力尽神危 忙命 小丫头
忙命 小丫头 子来
小丫头 子来 替
子来 替 他
替 他 捶
他 捶 着
捶 着 彼
着 彼 此
彼 此 捶打
此 捶打 了
捶打 了 一会
了 一会 歇下
一会 歇下 没
歇下 没 一顿饭
没 一顿饭 的
一顿饭 的 工夫
的 工夫 天已
工夫 天已 大亮
天已 大亮 且
大亮 且 不
且 不 出门
不 出门 只
出门 只 叫
只 叫 快
叫 快 请
快 请 大夫
请 大夫 一时
大夫 一时 王大夫
一时 王大夫 来了
王大夫 来了 诊
来了 诊 了
诊 了 脉
了 脉 疑惑
脉 疑惑 说道
疑惑 说道 昨日
说道 昨日 已
昨日 已 好了
已 好了 些
好了 些 今日
些 今日 如何
今日 如何 反
如何 反 虚浮
反 虚浮 微缩
虚浮 微缩 起来
微缩 起来 敢
起来 敢 是
敢 是 吃
是 吃 多
吃 多 了
多 了 饮食
了 饮食 不然
饮食 不然 就是
不然 就是 劳了
就是 劳了 神思
劳了 神思 外感
神思 外感 却
外感 却 倒
却 倒 轻
倒 轻 了
轻 了 这汗
了 这汗 后
这汗 后 失调
后 失调 养
失调 养 非同小可
养 非同小可 一面
非同小可 一面 说
一面 说 一面
说 一面 出去
一面 出去 开了
出去 开了 药方
开了 药方 进来
药方 进来 宝玉
进来 宝玉 看时
宝玉 看时 已
看时 已 将
已 将 疏散
将 疏散 驱邪
疏散 驱邪 诸药
驱邪 诸药 减去
诸药 减去 倒添
减去 倒添 茯苓
倒添 茯苓 地黄
茯苓 地黄 当归
地黄 当归 等益
当归 等益 神
等益 神 养血
神 养血 之剂
